,seqnames,start,Composite Element REF,End,Feature name,end,width,strand,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,ensembl_gene_id,gene_name,class
42,1,155177543,cg01425293,155177544,f9523,155177543,1,*,155173787,155184971,11185,+,0,inside,0,ENSG00000163462,TRIM46,0
43,5,169706962,cg27063969,169706963,f155358,169706962,1,*,169637268,170083382,446115,+,0,inside,0,ENSG00000134516,DOCK2,0
44,16,30012294,cg03890691,30012295,f25526,30012294,1,*,30005514,30023270,17757,-,0,inside,0,ENSG00000149927,DOC2A,0
45,12,49265019,cg17359076,49265020,f104503,49265019,1,*,49188736,49274600,85865,+,0,inside,0,ENSG00000167553,TUBA1C,0
46,12,49265019,cg17359076,49265020,f104503,49265019,1,*,49232790,49264756,31967,-,262,upstream,262,ENSG00000258101,,0
47,10,77926531,cg13511098,77926532,f81955,77926531,1,*,77927372,77929824,2453,+,840,upstream,840,ENSG00000233871,DLG5-AS1,0
48,10,77926531,cg13511098,77926532,f81955,77926531,1,*,77790791,77926755,135965,-,0,inside,0,ENSG00000151208,DLG5,0
49,2,240561925,cg27449114,240561926,f157449,240561925,1,*,240479422,240569209,89788,-,0,inside,0,ENSG00000144504,ANKMY1,0
50,2,240561925,cg27449114,240561926,f157449,240561925,1,*,240560054,240565256,5203,+,0,inside,0,ENSG00000188542,DUSP28,0
51,17,40093099,cg09304381,40093100,f58616,40093099,1,*,40092793,40100589,7797,-,0,inside,0,ENSG00000126368,NR1D1,0
52,17,40093099,cg09304381,40093100,f58616,40093099,1,*,40058290,40093867,35578,+,0,inside,0,ENSG00000126351,THRA,0
53,12,50057612,cg21669272,50057613,f126906,50057612,1,*,50057548,50083611,26064,+,0,inside,0,ENSG00000110881,ASIC1,0
54,16,2595869,cg02801007,2595870,f18531,2595869,1,*,2537979,2603188,65210,+,0,inside,0,ENSG00000140992,PDPK1,0
55,1,44776406,cg18806997,44776407,f112207,44776406,1,*,44775251,44778779,3529,+,0,inside,0,ENSG00000142937,RPS8,0
56,1,44776406,cg18806997,44776407,f112207,44776406,1,*,44776490,44776593,104,+,83,upstream,83,ENSG00000200913,SNORD46,0
57,1,44776406,cg18806997,44776407,f112207,44776406,1,*,44777843,44777912,70,+,1436,upstream,1436,ENSG00000202031,SNORD38A,0
58,1,44776406,cg18806997,44776407,f112207,44776406,1,*,44759037,44775810,16774,-,595,upstream,595,ENSG00000225721,,0
59,4,105474226,cg13529269,105474227,f82076,105474226,1,*,105369077,105474067,104991,-,158,upstream,158,ENSG00000138777,PPA2,0
60,2,71560697,cg06875255,71560698,f43973,71560697,1,*,71453561,71686763,233203,+,0,inside,0,ENSG00000135636,DYSF,0
61,8,119211626,cg15999099,119211627,f96787,119211626,1,*,119165034,119245673,80640,+,0,inside,0,ENSG00000147676,MAL2,0
62,22,38794377,cg07837516,38794378,f49924,38794377,1,*,38734725,38794143,59419,-,233,upstream,233,ENSG00000100242,SUN2,0
63,22,38794377,cg07837516,38794378,f49924,38794377,1,*,38778508,38794198,15691,-,178,upstream,178,ENSG00000100246,DNAL4,0
64,3,108091869,cg00492070,108091870,f3344,108091869,1,*,108043091,108091862,48772,-,6,upstream,6,ENSG00000196776,CD47,0
65,11,34266678,cg07541559,34266679,f48104,34266678,1,*,34150987,34358010,207024,-,0,inside,0,ENSG00000166016,ABTB2,0
66,17,48620338,cg17873048,48620339,f107103,48620338,1,*,48607232,48633572,26341,-,0,inside,0,ENSG00000260027,HOXB7,0
67,19,8139596,cg07638689,8139597,f48755,8139596,1,*,8065402,8149592,84191,-,0,inside,0,ENSG00000142449,FBN3,0
68,1,97138626,cg14200127,97138627,f86577,97138626,1,*,97077743,97995000,917258,-,0,inside,0,ENSG00000188641,DPYD,0
69,1,97138626,cg14200127,97138627,f86577,97138626,1,*,97095923,97322955,227033,+,0,inside,0,ENSG00000232878,DPYD-AS1,0
70,5,172683576,cg06933824,172683577,f44351,172683576,1,*,172641263,172691540,50278,+,0,inside,0,ENSG00000214357,NEURL1B,0
71,15,59191971,cg02920604,59191972,f19339,59191971,1,*,59132434,59372871,240438,-,0,inside,0,ENSG00000157483,MYO1E,0
72,5,132658036,cg15329179,132658037,f93158,132658036,1,*,132630589,132664272,33684,-,0,inside,0,ENSG00000223442,TH2LCRR,0
73,5,132658036,cg15329179,132658037,f93158,132658036,1,*,132656263,132661110,4848,+,0,inside,0,ENSG00000169194,IL13,0
74,12,130160878,cg23381749,130160879,f135654,130160878,1,*,130144315,130162256,17942,-,0,inside,0,ENSG00000250208,FZD10-AS1,0
75,5,151804151,cg14094444,151804152,f85882,151804151,1,*,151771045,151812911,41867,+,0,inside,0,ENSG00000145907,G3BP1,0
76,5,112329851,cg15536663,112329852,f94214,112329851,1,*,112142441,112419313,276873,-,0,inside,0,ENSG00000129595,EPB41L4A,0
77,17,81466023,cg24997744,81466024,f144268,81466023,1,*,81395457,81466332,70876,+,0,inside,0,ENSG00000266074,BAHCC1,0
78,11,65184563,cg03241909,65184564,f21442,65184563,1,*,65180566,65212006,31441,+,0,inside,0,ENSG00000014216,CAPN1,0
79,12,3492996,cg00059053,3492997,f429,3492996,1,*,3381349,3593973,212625,+,0,inside,0,ENSG00000111218,PRMT8,0
80,12,3492996,cg00059053,3492997,f429,3492996,1,*,3483714,3492819,9106,-,176,upstream,176,ENSG00000287243,THCAT155,0
81,18,77120159,cg00989538,77120160,f6689,77120159,1,*,76978827,77133683,154857,-,0,inside,0,ENSG00000197971,MBP,0
82,7,13989065,cg11279021,13989066,f69786,13989065,1,*,13891229,13991425,100197,-,0,inside,0,ENSG00000006468,ETV1,0
83,3,184320529,cg04509882,184320530,f29434,184320529,1,*,184314495,184335358,20864,+,0,inside,0,ENSG00000114867,EIF4G1,0
84,10,124589933,cg26852645,124589934,f154190,124589933,1,*,124461823,124617888,156066,+,0,inside,0,ENSG00000107902,LHPP,0
85,2,95274283,cg05989861,95274284,f38635,95274283,1,*,95274449,95291308,16860,+,165,upstream,165,ENSG00000155066,PROM2,0
86,17,75897128,cg13966383,75897129,f85022,75897128,1,*,75880335,75896951,16617,-,176,upstream,176,ENSG00000141569,TRIM65,0
87,17,75897128,cg13966383,75897129,f85022,75897128,1,*,75897060,75900148,3089,+,0,inside,0,ENSG00000267342,,0
88,5,124651974,cg13904970,124651975,f84589,124651974,1,*,124636913,124748807,111895,-,0,inside,0,ENSG00000168916,ZNF608,0
89,1,243474664,cg17110767,243474665,f103129,243474664,1,*,243256034,243500091,244058,+,0,inside,0,ENSG00000054282,SDCCAG8,0
90,5,167283841,cg01227558,167283842,f8274,167283841,1,*,167284799,168264157,979359,+,957,upstream,957,ENSG00000145934,TENM2,0
91,1,25875728,cg01625783,25875729,f10882,25875728,1,*,25861484,25875708,14225,-,19,upstream,19,ENSG00000182749,PAQR7,0
92,15,62845481,cg01400900,62845482,f9341,62845481,1,*,62827675,62884034,56360,-,0,inside,0,ENSG00000259370,,0
93,4,112379612,cg14369455,112379613,f87702,112379612,1,*,112285509,112442621,157113,+,0,inside,0,ENSG00000073331,ALPK1,0
94,11,1006303,cg06494775,1006304,f41500,1006303,1,*,924894,1012245,87352,+,0,inside,0,ENSG00000183020,AP2A2,0
95,7,116526770,cg21367972,116526771,f125386,116526770,1,*,116524994,116561179,36186,+,0,inside,0,ENSG00000105974,CAV1,0
96,1,156661450,cg15101245,156661451,f92049,156661450,1,*,156646507,156661424,14918,-,25,upstream,25,ENSG00000229953,,0
97,16,482468,cg20610177,482469,f121593,482468,1,*,425649,523011,97363,+,0,inside,0,ENSG00000090565,RAB11FIP3,0
98,10,26642997,cg09571345,26642998,f60196,26642997,1,*,26643228,26645016,1789,+,230,upstream,230,ENSG00000234296,,0
99,1,205591869,cg04740665,205591870,f30907,205591869,1,*,205568885,205602918,34034,+,0,inside,0,ENSG00000174514,MFSD4A,0
100,17,79950866,cg17295878,79950867,f104121,79950866,1,*,79932343,80035872,103530,-,0,inside,0,ENSG00000167291,TBC1D16,0
101,11,111297869,cg22792449,111297870,f132374,111297869,1,*,111290787,111305498,14712,-,0,inside,0,ENSG00000196167,COLCA1,0
102,11,111297869,cg22792449,111297870,f132374,111297869,1,*,111298555,111308735,10181,+,685,upstream,685,ENSG00000214290,COLCA2,0
103,4,37978198,cg14217589,37978199,f86738,37978198,1,*,37891084,38139175,248092,+,0,inside,0,ENSG00000065882,TBC1D1,0
104,1,1308182,cg07425625,1308183,f47423,1308182,1,*,1292390,1309609,17220,-,0,inside,0,ENSG00000131584,ACAP3,0
105,1,1308182,cg07425625,1308183,f47423,1308182,1,*,1308597,1311677,3081,+,414,upstream,414,ENSG00000169972,PUSL1,0
106,10,3781566,cg13454226,3781567,f81576,3781566,1,*,3775996,3785281,9286,-,0,inside,0,ENSG00000067082,KLF6,0
107,6,93419171,cg00044245,93419172,f329,93419171,1,*,93416951,93677954,261004,+,0,inside,0,ENSG00000287683,,0
108,6,93419171,cg00044245,93419172,f329,93419171,1,*,93240020,93419687,179668,-,0,inside,0,ENSG00000135333,EPHA7,0
109,12,123601930,cg00000769,123601931,f3,123601930,1,*,123602077,123620943,18867,+,146,upstream,146,ENSG00000111364,DDX55,0
110,10,13729465,cg23873415,13729466,f138134,13729465,1,*,13643706,14462142,818437,-,0,inside,0,ENSG00000151474,FRMD4A,0
111,10,13729465,cg23873415,13729466,f138134,13729465,1,*,13729383,13756200,26818,+,0,inside,0,ENSG00000234091,,0
112,15,72197075,cg25228169,72197076,f145466,72197075,1,*,72159806,72197787,37982,-,0,inside,0,ENSG00000175318,GRAMD2A,0
113,4,1209142,cg01638225,1209143,f10957,1209142,1,*,1166932,1208962,42031,-,179,upstream,179,ENSG00000159674,SPON2,0
114,4,1209142,cg01638225,1209143,f10957,1209142,1,*,1210120,1218591,8472,+,977,upstream,977,ENSG00000280927,CTBP1-AS,0
115,8,37897642,cg13625816,37897643,f82767,37897642,1,*,37858618,37899497,40880,-,0,inside,0,ENSG00000156675,RAB11FIP1,0
116,19,827739,cg14663914,827740,f89657,827739,1,*,825097,832018,6922,+,0,inside,0,ENSG00000172232,AZU1,0
117,14,20461454,cg11775391,20461455,f72442,20461454,1,*,20457681,20461465,3785,-,0,inside,0,ENSG00000165782,PIP4P1,0
118,5,140842668,cg25225155,140842669,f145449,140842668,1,*,140786136,141012347,226212,+,0,inside,0,ENSG00000204970,PCDHA1,0
119,5,140842668,cg25225155,140842669,f145449,140842668,1,*,140794852,141012347,217496,+,0,inside,0,ENSG00000204969,PCDHA2,0
120,5,140842668,cg25225155,140842669,f145449,140842668,1,*,140801028,141012347,211320,+,0,inside,0,ENSG00000255408,PCDHA3,0
121,5,140842668,cg25225155,140842669,f145449,140842668,1,*,140806929,141012347,205419,+,0,inside,0,ENSG00000204967,PCDHA4,0
122,5,140842668,cg25225155,140842669,f145449,140842668,1,*,140821604,141012347,190744,+,0,inside,0,ENSG00000204965,PCDHA5,0
123,5,140842668,cg25225155,140842669,f145449,140842668,1,*,140827958,141012347,184390,+,0,inside,0,ENSG00000081842,PCDHA6,0
124,5,140842668,cg25225155,140842669,f145449,140842668,1,*,140834248,141012347,178100,+,0,inside,0,ENSG00000204963,PCDHA7,0
125,5,140842668,cg25225155,140842669,f145449,140842668,1,*,140841187,141012347,171161,+,0,inside,0,ENSG00000204962,PCDHA8,0
126,22,41543977,cg14162929,41543978,f86310,41543977,1,*,41525799,41544606,18808,-,0,inside,0,ENSG00000100413,POLR3H,0
127,4,25843588,cg09461545,25843589,f59506,25843588,1,*,25747433,25863760,116328,-,0,inside,0,ENSG00000091490,SEL1L3,0
128,3,50569206,cg18260343,50569207,f109285,50569206,1,*,50558025,50571027,13003,-,0,inside,0,ENSG00000088543,C3orf18,0
129,3,50569206,cg18260343,50569207,f109285,50569206,1,*,50569152,50596168,27017,+,0,inside,0,ENSG00000114735,HEMK1,0
130,8,102968838,cg11486078,102968839,f70857,102968838,1,*,102864271,103002424,138154,+,0,inside,0,ENSG00000253320,MAILR,0
131,20,19935118,cg26396492,19935119,f151642,19935118,1,*,19757606,20002457,244852,+,0,inside,0,ENSG00000132669,RIN2,0
132,13,80336628,cg00185066,80336629,f1314,80336628,1,*,80335976,80341126,5151,-,0,inside,0,ENSG00000136158,SPRY2,0
133,14,55129240,cg19099850,55129241,f113711,55129240,1,*,55124110,55145423,21314,+,0,inside,0,ENSG00000131981,LGALS3,0
134,17,4331787,cg27019093,4331788,f155122,4331787,1,*,4269259,4366675,97417,-,0,inside,0,ENSG00000132388,UBE2G1,0
135,11,32587070,cg18931760,32587071,f112898,32587070,1,*,32583798,32606264,22467,+,0,inside,0,ENSG00000149100,EIF3M,0
136,13,26253740,cg00022633,26253741,f164,26253740,1,*,26254104,26405238,151135,+,363,upstream,363,ENSG00000132964,CDK8,0
137,19,49876140,cg02859537,49876141,f18901,49876140,1,*,49877425,49888750,11326,+,1284,upstream,1284,ENSG00000104946,TBC1D17,0
138,19,49876140,cg02859537,49876141,f18901,49876140,1,*,49859882,49878351,18470,-,0,inside,0,ENSG00000039650,PNKP,0
139,19,49876140,cg02859537,49876141,f18901,49876140,1,*,49869033,49878459,9427,-,0,inside,0,ENSG00000204673,AKT1S1,0
140,12,57609595,cg12561125,57609596,f76843,57609595,1,*,57604622,57609804,5183,+,0,inside,0,ENSG00000178498,DTX3,0
141,12,57609595,cg12561125,57609596,f76843,57609595,1,*,57610180,57617245,7066,+,584,upstream,584,ENSG00000240771,ARHGEF25,0
142,11,112241849,cg01643712,112241850,f10982,112241849,1,*,112226367,112269955,43589,+,0,inside,0,ENSG00000150787,PTS,0
143,6,16374851,cg27395391,16374852,f157163,16374851,1,*,16299112,16761491,462380,-,0,inside,0,ENSG00000124788,ATXN1,0
144,19,5061194,cg00513611,5061195,f3521,5061194,1,*,4969113,5153598,184486,+,0,inside,0,ENSG00000127663,KDM4B,0
145,5,16465779,cg16398128,16465780,f99044,16465779,1,*,16451519,16465800,14282,-,0,inside,0,ENSG00000173545,ZNF622,0
146,7,53035883,cg14794023,53035884,f90391,53035883,1,*,53035633,53036925,1293,+,0,inside,0,ENSG00000221900,POM121L12,0
147,5,472430,cg00473462,472431,f3218,472430,1,*,466124,473098,6975,-,0,inside,0,ENSG00000188242,PP7080,0
148,5,472430,cg00473462,472431,f3218,472430,1,*,470456,524449,53994,-,0,inside,0,ENSG00000066230,SLC9A3,0
149,5,472430,cg00473462,472431,f3218,472430,1,*,473236,480884,7649,+,805,upstream,805,ENSG00000225138,SLC9A3-AS1,0
150,1,230979114,cg20136738,230979115,f119276,230979114,1,*,230906243,230978875,72633,-,238,upstream,238,ENSG00000143643,TTC13,0
151,1,230979114,cg20136738,230979115,f119276,230979114,1,*,230978981,231000733,21753,+,0,inside,0,ENSG00000173409,ARV1,0
152,19,45553649,cg27391679,45553650,f157136,45553649,1,*,45527427,45602212,74786,-,0,inside,0,ENSG00000125741,OPA3,0
153,11,19350467,cg24137774,19350468,f139684,19350467,1,*,19350724,20121601,770878,+,256,upstream,256,ENSG00000166833,NAV2,0
154,17,40093013,cg24975211,40093014,f144155,40093013,1,*,40092793,40100589,7797,-,0,inside,0,ENSG00000126368,NR1D1,0
155,17,40093013,cg24975211,40093014,f144155,40093013,1,*,40058290,40093867,35578,+,0,inside,0,ENSG00000126351,THRA,0
156,21,34096401,cg20598634,34096402,f121539,34096401,1,*,34073224,34143034,69811,+,0,inside,0,ENSG00000243927,MRPS6,0
157,21,34096401,cg20598634,34096402,f121539,34096401,1,*,34073578,34106260,32683,+,0,inside,0,ENSG00000198743,SLC5A3,0
158,21,34096401,cg20598634,34096402,f121539,34096401,1,*,34073592,34360033,286442,+,0,inside,0,ENSG00000272657,,0
159,1,228650240,cg01525538,228650241,f10221,228650240,1,*,228650241,228651379,1139,+,0,upstream,0,ENSG00000183929,DUSP5P1,0
160,3,147407995,cg24686610,147407996,f142582,147407995,1,*,147393422,147510293,116872,+,0,inside,0,ENSG00000152977,ZIC1,0
161,3,147407995,cg24686610,147407996,f142582,147407995,1,*,147386046,147406809,20764,-,1185,upstream,1185,ENSG00000174963,ZIC4,0
162,13,21671035,cg25926358,21671036,f148952,21671035,1,*,21671073,21704498,33426,+,37,upstream,37,ENSG00000102678,FGF9,0
163,7,159144415,cg18349835,159144416,f109780,159144415,1,*,159028175,159144867,116693,-,0,inside,0,ENSG00000106018,VIPR2,0
164,2,201257946,cg14962032,201257947,f91270,201257946,1,*,201233443,201287711,54269,+,0,inside,0,ENSG00000064012,CASP8,0
165,1,42817514,cg01782487,42817515,f11814,42817514,1,*,42807052,42817397,10346,-,116,upstream,116,ENSG00000177868,SVBP,0
166,1,42817514,cg01782487,42817515,f11814,42817514,1,*,42817122,42844991,27870,+,0,inside,0,ENSG00000164010,ERMAP,0
167,14,75469965,cg01919011,75469966,f12726,75469965,1,*,75427716,75474111,46396,+,0,inside,0,ENSG00000140044,JDP2,0
168,11,65663397,cg04172043,65663398,f27272,65663397,1,*,65653597,65663090,9494,-,306,upstream,306,ENSG00000173039,RELA,0
169,11,65663397,cg04172043,65663398,f27272,65663397,1,*,65663006,65671716,8711,+,0,inside,0,ENSG00000285533,RELA-DT,0
170,16,27426579,cg08282819,27426580,f52702,27426579,1,*,27402174,27452042,49869,+,0,inside,0,ENSG00000103522,IL21R,0
171,6,36443439,cg14787123,36443440,f90337,36443439,1,*,36442767,36491143,48377,+,0,inside,0,ENSG00000112078,KCTD20,0
172,6,36443439,cg14787123,36443440,f90337,36443439,1,*,36390551,36442854,52304,-,584,upstream,584,ENSG00000179165,PXT1,0
173,12,51421299,cg01904393,51421300,f12625,51421299,1,*,51391317,51515763,124447,+,0,inside,0,ENSG00000050438,SLC4A8,0
174,17,79950470,cg01084215,79950471,f7356,79950470,1,*,79932343,80035872,103530,-,0,inside,0,ENSG00000167291,TBC1D16,0
175,16,30947994,cg06084952,30947995,f39158,30947994,1,*,30948386,30956511,8126,+,391,upstream,391,ENSG00000261487,,0
176,16,30947994,cg06084952,30947995,f39158,30947994,1,*,30949068,30956461,7394,+,1073,upstream,1073,ENSG00000175938,ORAI3,0
177,16,30947994,cg06084952,30947995,f39158,30947994,1,*,30923055,30948783,25729,+,0,inside,0,ENSG00000099364,FBXL19,0
178,8,143944899,cg03537810,143944900,f23347,143944899,1,*,143915153,143976734,61582,-,0,inside,0,ENSG00000178209,PLEC,0
179,17,82410642,cg27561875,82410643,f158064,82410642,1,*,82389210,82418637,29428,-,0,inside,0,ENSG00000181396,OGFOD3,0
180,7,27144490,cg09880291,27144491,f61931,27144490,1,*,27128969,27152561,23593,-,0,inside,0,ENSG00000273433,,0
181,7,27144490,cg09880291,27144491,f61931,27144490,1,*,27129977,27155928,25952,+,0,inside,0,ENSG00000254369,HOXA-AS3,0
182,7,27144490,cg09880291,27144491,f61931,27144490,1,*,27141052,27143681,2630,-,808,upstream,808,ENSG00000106004,HOXA5,0
183,7,27144490,cg09880291,27144491,f61931,27144490,1,*,27106184,27152583,46400,-,0,inside,0,ENSG00000105997,HOXA3,0
184,3,44761799,cg24888989,44761800,f143726,44761799,1,*,44737661,44761619,23959,-,179,upstream,179,ENSG00000163807,KIAA1143,0
185,3,44761799,cg24888989,44761800,f143726,44761799,1,*,44761721,44873376,111656,+,0,inside,0,ENSG00000163808,KIF15,0
186,8,115494435,cg11730559,115494436,f72191,115494435,1,*,115408496,115809673,401178,-,0,inside,0,ENSG00000104447,TRPS1,0
187,12,28191233,cg13239976,28191234,f80291,28191233,1,*,28163298,28190738,27441,-,494,upstream,494,ENSG00000247934,,0
188,12,28191233,cg13239976,28191234,f80291,28191233,1,*,28133249,28581511,448263,+,0,inside,0,ENSG00000123106,CCDC91,0
189,1,155295587,cg09037777,155295588,f57093,155295587,1,*,155289293,155301438,12146,-,0,inside,0,ENSG00000143627,PKLR,0
190,1,214549609,cg00163510,214549610,f1158,214549609,1,*,214348700,214552449,203750,-,0,inside,0,ENSG00000152104,PTPN14,0
191,14,102930553,cg00176863,102930554,f1252,102930553,1,*,102922663,102933596,10934,+,0,inside,0,ENSG00000166126,AMN,0
192,6,36441590,cg18748525,36441591,f111850,36441590,1,*,36442767,36491143,48377,+,1176,upstream,1176,ENSG00000112078,KCTD20,0
193,6,36441590,cg18748525,36441591,f111850,36441590,1,*,36390551,36442854,52304,-,0,inside,0,ENSG00000179165,PXT1,0
194,16,89122975,cg04033022,89122976,f26388,89122975,1,*,89088375,89164121,75747,+,0,inside,0,ENSG00000176715,ACSF3,0
195,20,3669846,cg17401106,3669847,f104718,3669846,1,*,3667965,3682246,14282,-,0,inside,0,ENSG00000149451,ADAM33,0
196,15,75208684,cg19084059,75208685,f113633,75208684,1,*,75195643,75212169,16527,+,0,inside,0,ENSG00000167173,C15orf39,0
197,3,44761801,cg00702638,44761802,f4776,44761801,1,*,44737661,44761619,23959,-,181,upstream,181,ENSG00000163807,KIAA1143,0
198,3,44761801,cg00702638,44761802,f4776,44761801,1,*,44761721,44873376,111656,+,0,inside,0,ENSG00000163808,KIF15,0
199,17,1078403,cg22789318,1078404,f132355,1078403,1,*,1003519,1229738,226220,-,0,inside,0,ENSG00000159842,ABR,0
200,10,88347782,cg05529156,88347783,f35843,88347782,1,*,88273864,88584530,310667,-,0,inside,0,ENSG00000184719,RNLS,0
201,17,259754,cg05590233,259755,f36180,259754,1,*,212389,386254,173866,-,0,inside,0,ENSG00000181031,RPH3AL,0
202,1,26112354,cg26002253,26112355,f149371,26112354,1,*,26111165,26125555,14391,+,0,inside,0,ENSG00000175087,PDIK1L,0
203,13,80337557,cg15374435,80337558,f93379,80337557,1,*,80335976,80341126,5151,-,0,inside,0,ENSG00000136158,SPRY2,0
204,7,2803112,cg16765393,2803113,f101336,2803112,1,*,2728105,2844308,116204,-,0,inside,0,ENSG00000146535,GNA12,0
205,4,185112224,cg03080336,185112225,f20440,185112224,1,*,185051081,185115500,64420,+,0,inside,0,ENSG00000250754,LINC02436,0
