,seqnames,start,Composite Element REF,End,c
101643,11,46846367,cg16823737,46846368,0
102490,7,73521306,cg16997732,73521307,0
2998,19,49338201,cg00442430,49338202,0
35235,8,9041003,cg05418508,9041004,0
94105,14,94581383,cg15509705,94581384,0
74689,19,55685605,cg12153709,55685606,0
120176,8,60175748,cg20321319,60175749,0
70687,5,865235,cg11447335,865236,0
98033,6,168081805,cg16231066,168081806,0
15230,11,587926,cg02304370,587927,0
68043,4,872922,cg10966208,872923,0
5157,4,184396284,cg00762029,184396285,0
154186,5,151924861,cg26851782,151924862,0
44838,22,35623585,cg07009002,35623586,0
43669,11,93491044,cg06832246,93491045,0
135041,14,101065256,cg23270924,101065257,0
61716,4,156970935,cg09848659,156970936,0
60646,3,4582448,cg09654471,4582449,0
82345,19,48320170,cg13568258,48320171,0
77596,1,52686409,cg12691620,52686410,0
6543,7,27144822,cg00969405,27144823,0
46608,6,11855050,cg07283896,11855051,0
3703,8,69492481,cg00541476,69492482,0
230,12,31370063,cg00031187,31370064,0
87435,8,143951883,cg14324585,143951884,0
44524,2,46941394,cg06959232,46941395,0
1723,7,154748615,cg00252418,154748616,0
114583,16,31458662,cg19282742,31458663,0
45044,5,141304114,cg07039560,141304115,0
132363,5,158456925,cg22790839,158456926,0
106377,9,127509105,cg17739181,127509106,0
123599,1,15214686,cg21005438,15214687,0
54,4,164955893,cg00007239,164955894,0
28361,16,56985843,cg04338890,56985844,0
6552,17,42421746,cg00971050,42421747,0
2239,22,37943965,cg00331032,37943966,0
9266,19,45995057,cg01389504,45995058,0
80550,12,12719752,cg13289884,12719753,0
106714,21,45528451,cg17803589,45528452,0
7599,10,133124294,cg01120434,133124295,0
111675,17,35063789,cg18710162,35063790,0
118511,17,43483947,cg19986472,43483948,0
61627,10,45428230,cg09832911,45428231,0
98965,1,152034739,cg16382778,152034740,0
146185,20,58853382,cg25367568,58853383,0
3770,8,86508951,cg00550725,86508952,0
78705,2,3449342,cg12915819,3449343,0
82059,9,110114880,cg13526642,110114881,0
157427,11,977931,cg27445792,977932,0
118600,6,44058738,cg20003368,44058739,0
62633,21,44958439,cg10007534,44958440,0
152157,16,13935678,cg26493247,13935679,0
119969,8,123776729,cg20283107,123776730,0
82228,1,44778288,cg13553147,44778289,0
47655,2,173184504,cg07469815,173184505,0
135953,7,99919654,cg23438945,99919655,0
171,16,86722026,cg00023673,86722027,0
5753,12,99154659,cg00852595,99154660,0
158327,10,45418828,cg27608999,45418829,0
53626,20,1329356,cg08443357,1329357,0
106856,22,49091531,cg17827477,49091532,0
5599,7,47392714,cg00830492,47392715,0
97595,8,22227904,cg16148593,22227905,0
105352,10,129840560,cg17516455,129840561,0
87866,12,132773158,cg14395537,132773159,0
124873,18,23574296,cg21243631,23574297,0
49411,2,96407801,cg07749613,96407802,0
65759,10,96416983,cg10549018,96416984,0
64524,21,42010617,cg10334222,42010618,0
2210,8,24218707,cg00327697,24218708,0
91590,2,234494574,cg15016771,234494575,0
39775,1,172745133,cg06191357,172745134,0
151470,1,111227652,cg26366091,111227653,0
139266,6,16729379,cg24067911,16729380,0
137243,10,3781598,cg23680451,3781599,0
112123,1,25567244,cg18792528,25567245,0
43426,11,123577673,cg06797734,123577674,0
130533,6,35486657,cg22424903,35486658,0
137448,8,21750768,cg23716449,21750769,0
13,19,39307841,cg00002033,39307842,0
2947,8,22366339,cg00433296,22366340,0
113218,11,131690488,cg18999314,131690489,0
93329,22,31945636,cg15364131,31945637,0
118653,1,15727230,cg20014094,15727231,0
9379,2,71560678,cg01407254,71560679,0
737,17,55349296,cg00101260,55349297,0
110159,17,31788398,cg18427091,31788399,0
48574,11,65574791,cg07611000,65574792,0
112930,8,124729105,cg18939260,124729106,0
50397,16,327344,cg07915516,327345,0
157590,10,6217158,cg27476893,6217159,0
105596,3,171809467,cg17566735,171809468,0
34122,4,38688721,cg05256902,38688722,0
8575,7,103445790,cg01277155,103445791,0
50931,16,1537809,cg08006309,1537810,0
8471,2,9393444,cg01259423,9393445,0
47590,19,44647241,cg07455685,44647242,0
116841,10,15860873,cg19707359,15860874,0
143424,4,4862703,cg24840099,4862704,0
45901,22,19022955,cg07167594,19022956,0
139955,17,27332583,cg24185397,27332584,0
100440,16,19715820,cg16616769,19715821,0
8638,18,23231444,cg01288184,23231445,0
137491,2,43058679,cg23725027,43058680,0
128437,2,232838410,cg21993290,232838411,0
349,4,188657688,cg00047052,188657689,0
77,2,201866169,cg00009750,201866170,0
135995,15,99733300,cg23448096,99733301,0
122891,13,114151822,cg20856545,114151823,0
120051,8,26190765,cg20300502,26190766,0
70927,5,150946516,cg11501236,150946517,0
94575,2,54559011,cg15602548,54559012,0
89068,7,108569606,cg14568353,108569607,0
6037,16,50863360,cg00900231,50863361,0
13745,5,159442626,cg02070906,159442627,0
14578,2,30808889,cg02203336,30808890,0
90009,5,24645038,cg14730815,24645039,0
59963,2,95295955,cg09533708,95295956,0
152870,2,201140043,cg26627956,201140044,0
46508,3,49423088,cg07266350,49423089,0
16106,10,71253992,cg02440719,71253993,0
2973,19,13830954,cg00437228,13830955,0
58151,20,53583239,cg09228833,53583240,0
20993,2,201949710,cg03170036,201949711,0
101908,12,124445614,cg16878595,124445615,0
31756,14,49598347,cg04871582,49598348,0
62180,19,51022382,cg09923953,51022383,0
139582,4,139014958,cg24124145,139014959,0
139635,10,369419,cg24131452,369420,0
54669,19,13001994,cg08616111,13001995,0
124210,22,42290013,cg21131343,42290014,0
86885,1,16648090,cg14237550,16648091,0
22247,1,53276650,cg03366858,53276651,0
13698,10,110460713,cg02064267,110460714,0
51917,1,44847353,cg08164720,44847354,0
6298,8,13515581,cg00933411,13515582,0
144769,14,75430639,cg25102206,75430640,0
150558,8,133375779,cg26219092,133375780,0
60600,5,82859932,cg09645138,82859933,0
95428,11,65084479,cg15747838,65084480,0
95678,22,41688702,cg15801967,41688703,0
45890,2,96868320,cg07166409,96868321,0
103159,19,3822128,cg17117277,3822129,0
5860,18,26547273,cg00868875,26547274,0
69568,10,68071617,cg11237934,68071618,0
143199,21,36464529,cg24794906,36464530,0
150405,15,43106104,cg26186901,43106105,0
69525,17,28227219,cg11231143,28227220,0
33196,7,92633656,cg05101437,92633657,0
145688,1,116493710,cg25279922,116493711,0
81231,8,68331163,cg13407456,68331164,0
39620,21,36745838,cg06165761,36745839,0
19709,12,127060406,cg02973156,127060407,0
102221,14,94581765,cg16937611,94581766,0
44980,11,65481871,cg07029024,65481872,0
9663,8,120779033,cg01443285,120779034,0
96724,4,41061730,cg15989892,41061731,0
147211,14,104357683,cg25567054,104357684,0
59441,17,41807793,cg09449611,41807794,0
89349,9,114250371,cg14610335,114250372,0
55542,10,119598012,cg08761324,119598013,0
63640,1,224929729,cg10174867,224929730,1
148339,19,53869554,cg25791973,53869555,1
142300,10,73651059,cg24637261,73651060,1
133508,14,75522422,cg22995449,75522423,1
79802,20,31608316,cg13148544,31608317,1
157350,3,126476338,cg27430182,126476339,1
143502,10,60915211,cg24853299,60915212,1
120076,7,98626604,cg20304727,98626605,1
865,6,87723232,cg00120332,87723233,1
102740,10,99533326,cg17042009,99533327,1
57334,11,83573862,cg09080874,83573863,1
14624,3,157120614,cg02212575,157120615,1
73452,2,10386327,cg11938718,10386328,1
85927,3,49133361,cg14099457,49133362,1
65434,3,16512190,cg10502118,16512191,1
105512,3,147407927,cg17546247,147407928,1
43127,5,6182102,cg06753918,6182103,1
50054,16,90026347,cg07860918,90026348,1
153927,12,111733998,cg26813561,111733999,1
148329,11,66278015,cg25789216,66278016,1
112647,1,28914193,cg18883836,28914194,1
158029,18,32092021,cg27556566,32092022,1
149821,11,132114090,cg26088269,132114091,1
9424,7,41692639,cg01412469,41692640,1
134296,13,112968394,cg23137531,112968395,1
56678,6,37680499,cg08961187,37680500,1
151398,14,23321016,cg26357017,23321017,1
45390,4,2746299,cg07094298,2746300,1
47445,7,138798081,cg07429038,138798082,1
148027,11,18011749,cg25733797,18011750,1
50930,8,142320923,cg08006053,142320924,1
137258,1,156195463,cg23682142,156195464,1
26369,17,82787359,cg04029455,82787360,1
79609,2,153872546,cg13101087,153872547,1
15358,14,60642827,cg02320543,60642828,1
144956,11,27472586,cg25132878,27472587,1
74466,12,57782447,cg12113251,57782448,1
43973,2,71560697,cg06875255,71560698,1
96182,17,81027168,cg15888472,81027169,1
76264,2,11133103,cg12453288,11133104,1
24591,1,2139877,cg03732007,2139878,1
92060,4,72568874,cg15102770,72568875,1
71188,2,156338795,cg11554249,156338796,1
107103,17,48620338,cg17873048,48620339,1
153054,19,5212472,cg26660036,5212473,1
105632,3,12484045,cg17574799,12484046,1
8444,12,27523764,cg01255349,27523765,1
116926,14,76765276,cg19721094,76765277,1
96696,11,130772904,cg15985132,130772905,1
149375,7,120273717,cg26002512,120273718,1
155302,5,67315668,cg27052418,67315669,1
133884,2,70978555,cg23060872,70978556,1
39538,12,123937712,cg06152215,123937713,1
114481,17,4711870,cg19265289,4711871,1
71037,4,1361533,cg11524428,1361534,1
89248,2,174487169,cg14596623,174487170,1
57402,20,59995078,cg09092525,59995079,1
72200,17,7440731,cg11731868,7440732,1
1579,16,8712896,cg00231389,8712897,1
36713,16,693476,cg05673214,693477,1
28489,11,43580886,cg04355791,43580887,1
70366,7,63790439,cg11385338,63790440,1
53279,2,200787629,cg08380379,200787630,1
38081,17,75272079,cg05906777,75272080,1
65253,16,2008700,cg10470208,2008701,1
113122,21,42686123,cg18975948,42686124,1
96,6,33898539,cg00013015,33898540,1
66816,6,100458809,cg10745499,100458810,1
87848,9,96934239,cg14392755,96934240,1
77488,3,9183881,cg12669543,9183882,1
8305,2,240672574,cg01231921,240672575,1
10793,2,101742565,cg01611777,101742566,1
575,2,221573116,cg00081574,221573117,1
115793,1,2526817,cg19516647,2526818,1
358,16,49283169,cg00049033,49283170,1
126297,2,29216227,cg21550785,29216228,1
55376,12,29783906,cg08729318,29783907,1
77130,1,64245350,cg12608727,64245351,1
18876,8,79783612,cg02856132,79783613,1
77915,10,95039108,cg12759420,95039109,1
26861,2,100105560,cg04109781,100105561,1
112512,5,86617731,cg18861877,86617732,1
82218,9,124392908,cg13551141,124392909,1
113302,10,5862598,cg19016062,5862599,1
122696,1,247857330,cg20810478,247857331,1
1489,2,195657265,cg00216659,195657266,1
104919,3,149221736,cg17439694,149221737,1
154360,10,78267247,cg26883033,78267248,1
124847,7,33693230,cg21240048,33693231,1
44016,11,60184190,cg06881914,60184191,1
67716,11,119356618,cg10904972,119356619,1
137942,13,46387448,cg23833588,46387449,1
20097,18,77249853,cg03032214,77249854,1
116972,5,141208809,cg19727817,141208810,1
82143,9,127245559,cg13539253,127245560,1
152299,19,48499825,cg26522157,48499826,1
398,21,41952970,cg00054774,41952971,1
109019,17,77960140,cg18211066,77960141,1
85261,10,29482814,cg14001239,29482815,1
126776,15,78266064,cg21642988,78266065,1
67500,4,727020,cg10864200,727021,1
33197,1,160070427,cg05101920,160070428,1
73586,5,122078477,cg11960393,122078478,1
137078,3,187736689,cg23655939,187736690,1
51928,19,55087075,cg08166750,55087076,1
137343,19,44757244,cg23696248,44757245,1
61448,1,209768721,cg09802688,209768722,1
157060,7,156159607,cg27377339,156159608,1
60460,8,80172205,cg09619309,80172206,1
9871,12,263080,cg01471111,263081,1
26187,8,31034171,cg04002325,31034172,1
40118,7,19118190,cg06243400,19118191,1
45691,2,71560485,cg07138437,71560486,1
4158,2,144520997,cg00602811,144520998,1
51336,2,119432626,cg08076266,119432627,1
113071,17,1618189,cg18964590,1618190,1
85620,3,65357208,cg14056993,65357209,1
93234,18,77249829,cg15343119,77249830,1
21712,19,3548340,cg03288653,3548341,1
88279,9,137788760,cg14459021,137788761,1
11924,17,4003380,cg01798813,4003381,1
2346,16,68257817,cg00346883,68257818,1
126902,11,64036647,cg21667796,64036648,1
55228,13,28138400,cg08702007,28138401,1
8624,21,26167788,cg01286133,26167789,1
82511,19,45553526,cg13588954,45553527,1
26722,10,11018085,cg04088969,11018086,1
135688,12,2230347,cg23390118,2230348,1
131912,2,70964988,cg22697962,70964989,1
148949,6,109691432,cg25926008,109691433,1
32016,3,183064777,cg04909259,183064778,1
80154,12,57238337,cg13212283,57238338,1
10633,16,86508001,cg01586959,86508002,1
126689,17,58087100,cg21622464,58087101,1
6217,6,109093920,cg00922727,109093921,1
84448,6,24402834,cg13884546,24402835,1
12905,17,82230180,cg01944226,82230181,1
105245,1,6080529,cg17499212,6080530,1
35345,17,17901426,cg05444541,17901427,1
99999,1,41739254,cg16549694,41739255,1
76033,5,52799661,cg12418686,52799662,1
74721,8,26046995,cg12160448,26046996,1
143302,19,55080974,cg24815529,55080975,1
108168,15,42575369,cg18069309,42575370,1
28898,3,37994569,cg04421553,37994570,1
99844,16,4242046,cg16525330,4242047,1
143943,6,157324350,cg24931561,157324351,1
112935,6,6699972,cg18941322,6699973,1
42251,1,12344888,cg06620723,12344889,1
85439,1,68233035,cg14025652,68233036,1
141326,13,46655792,cg24453118,46655793,1
32486,17,63446712,cg04987499,63446713,1
155515,6,1624207,cg27095915,1624208,1
59847,16,11597062,cg09514366,11597063,1
29164,12,123271228,cg04464465,123271229,1
82326,9,121775352,cg13565549,121775353,1
110061,17,36090184,cg18407309,36090185,1
4999,9,32783204,cg00736523,32783205,1
99975,4,121072937,cg16546016,121072938,1
115443,2,241645870,cg19445205,241645871,1
117788,13,98579376,cg19861486,98579377,1
78661,20,10218821,cg12909741,10218822,1
109128,18,60372735,cg18233497,60372736,1
48554,20,31608597,cg07607355,31608598,1
39074,3,38138383,cg06069310,38138384,1
111741,6,37500281,cg18724342,37500282,1
8126,4,186841102,cg01203651,186841103,1
143884,11,129372635,cg24922129,129372636,1
46881,17,58692196,cg07329131,58692197,1
43820,1,207801837,cg06852461,207801838,1
55590,5,17216325,cg08771731,17216326,1
8060,15,65285857,cg01192875,65285858,1
42488,20,63736453,cg06653796,63736454,1
12851,5,114361790,cg01939336,114361791,1
140324,12,109052827,cg24266450,109052828,1
68900,2,118310003,cg11124130,118310004,1
71921,7,907842,cg11685960,907843,1
46932,22,37607200,cg07338077,37607201,1
67609,12,113591443,cg10883854,113591444,1
127272,8,118438590,cg21755755,118438591,1
22660,1,6490798,cg03432716,6490799,1
30005,2,8239869,cg04592413,8239870,1
59512,20,45174844,cg09462575,45174845,1
115480,22,46678881,cg19452173,46678882,1
19440,10,27414400,cg02933909,27414401,1
53709,17,1998670,cg08454053,1998671,1
146639,17,80443989,cg25447164,80443990,1
79254,11,12008541,cg13024368,12008542,1
6112,5,11903972,cg00908526,11903973,1
94670,20,34872941,cg15617292,34872942,1
142392,17,39704091,cg24657085,39704092,1
1041,1,44739742,cg00148881,44739743,1
21202,12,78864627,cg03205584,78864628,1
33227,16,3192850,cg05107535,3192851,1
73721,3,190387766,cg11984608,190387767,1
98192,5,154482623,cg16257051,154482624,1
79103,1,225428773,cg12994003,225428774,1
29525,5,111758230,cg04522604,111758231,1
49348,17,44004442,cg07739179,44004443,1
61181,4,41796544,cg09752496,41796545,1
32652,16,25111490,cg05011276,25111491,1
19135,22,48575181,cg02895639,48575182,1
51687,1,167222123,cg08128228,167222124,1
49323,5,1882406,cg07733257,1882407,1
49128,4,145099049,cg07702259,145099050,1
128361,2,29116210,cg21972382,29116211,1
4,15,59493107,cg00000905,59493108,1
39079,15,75029717,cg06070324,75029718,1
153057,7,4973905,cg26660541,4973906,1
141443,2,84884275,cg24476722,84884276,1
68666,15,74588710,cg11077171,74588711,1
120308,7,66682522,cg20347101,66682523,1
117985,13,76976444,cg19896142,76976445,1
49379,13,26557347,cg07744166,26557348,1
120358,4,107821134,cg20358075,107821135,1
50591,21,29940015,cg07950000,29940016,1
91655,4,145808012,cg15029037,145808013,1
9213,3,52495048,cg01381934,52495049,1
44915,20,43518400,cg07018000,43518401,1
60048,2,217905547,cg09548780,217905548,1
131496,13,40537356,cg22615203,40537357,1
149622,7,50732505,cg26050906,50732506,1
135858,11,2883516,cg23419490,2883517,1
108405,19,14004799,cg18109874,14004800,1
5578,10,43371616,cg00827318,43371617,1
7338,7,711083,cg01082057,711084,1
34889,12,55997021,cg05368555,55997022,1
71829,5,115841801,cg11668199,115841802,1
65776,12,93678002,cg10552472,93678003,1
40095,2,11466151,cg06239478,11466152,1
13834,17,81084533,cg02080909,81084534,1
11841,2,201698404,cg01786466,201698405,1
26762,7,102242129,cg04094829,102242130,1
915,10,103494216,cg00128353,103494217,1
72608,3,100400874,cg11800013,100400875,1
67460,2,162184482,cg10856972,162184483,1
154369,10,13162110,cg26884570,13162111,1
28409,1,244788967,cg04345751,244788968,1
938,16,85464436,cg00131423,85464437,1
48951,16,29808130,cg07675334,29808131,1
147538,18,4455337,cg25627226,4455338,1
29849,7,157651731,cg04569202,157651732,1
23127,14,75269387,cg03507218,75269388,1
44910,13,28100314,cg07017374,28100315,1
37160,1,2133326,cg05753589,2133327,1
86505,12,95789747,cg14189750,95789748,1
145172,12,49950675,cg25170822,49950676,1
128069,8,144730639,cg21918548,144730640,1
67242,5,129461320,cg10821115,129461321,1
61296,16,55656469,cg09774787,55656470,1
96638,1,113389850,cg15975824,113389851,1
144857,10,14834068,cg25115135,14834069,1
1740,22,31662228,cg00254480,31662229,1
57935,13,36346970,cg09184842,36346971,1
22552,4,171813625,cg03413465,171813626,1
117082,4,74308357,cg19747465,74308358,1
81073,1,15604560,cg13383591,15604561,1
48674,1,159826827,cg07625783,159826828,1
37891,12,57591451,cg05876918,57591452,1
59879,19,2216726,cg09518441,2216727,1
82106,17,76716347,cg13533061,76716348,1
41520,5,45695820,cg06498267,45695821,1
152734,1,2243359,cg26605914,2243360,1
99262,2,237487512,cg16426459,237487513,1
126858,19,16067760,cg21658153,16067761,1
95016,1,173669991,cg15680620,173669992,1
108651,1,52633576,cg18146843,52633577,1
150083,4,74038781,cg26132084,74038782,1
80213,2,174025201,cg13223682,174025202,1
101792,11,124758247,cg16857192,124758248,1
78042,3,13283260,cg12786945,13283261,1
22077,1,43007426,cg03343013,43007427,1
118156,8,141222853,cg19923238,141222854,1
65031,11,128825646,cg10430742,128825647,1
123798,22,23762960,cg21046160,23762961,1
73922,10,88244254,cg12026992,88244255,1
72997,5,3591878,cg11857997,3591879,1
116589,6,117675316,cg19657320,117675317,1
53814,11,2952112,cg08468577,2952113,1
6206,7,27114044,cg00921266,27114045,1
17171,1,156641782,cg02599463,156641783,1
128160,11,63764260,cg21935113,63764261,1
104365,2,38605873,cg17336455,38605874,1
69683,19,18594550,cg11260072,18594551,1
156756,19,10109818,cg27318539,10109819,1
48132,2,235614718,cg07546943,235614719,1
98347,7,12403903,cg16278512,12403904,1
14380,11,2138623,cg02166532,2138624,1
120191,11,3056692,cg20324356,3056693,1
80262,12,64781388,cg13234415,64781389,1
150890,1,47179305,cg26272105,47179306,1
142519,5,76715313,cg24678700,76715314,1
28942,16,68995555,cg04427990,68995556,1
98167,16,88785510,cg16253142,88785511,1
31269,17,78844406,cg04797957,78844407,1
52699,19,55084610,cg08282037,55084611,1
4858,8,123652781,cg00713972,123652782,1
35855,5,159099606,cg05530568,159099607,1
70668,10,132293061,cg11443683,132293062,1
108577,6,62286278,cg18134312,62286279,1
80198,2,241540834,cg13220917,241540835,1
107714,10,73771642,cg17986469,73771643,1
133740,1,46530874,cg23038338,46530875,1
79625,11,115217929,cg13105228,115217930,1
50631,7,130734398,cg07955995,130734399,1
53227,19,47754698,cg08371124,47754699,1
57619,2,178116280,cg09132121,178116281,1
52167,11,2886104,cg08206623,2886105,1
102705,3,38138394,cg17034030,38138395,1
135983,14,22105206,cg23444713,22105207,1
2490,7,65269779,cg00368636,65269780,1
6825,10,69802558,cg01009145,69802559,1
128580,7,983268,cg22025233,983269,1
4735,3,65356969,cg00697916,65356970,1
53051,4,107989409,cg08335618,107989410,1
5594,1,145691388,cg00830283,145691389,1
9723,10,114526846,cg01449818,114526847,1
154612,16,3046661,cg26927231,3046662,1
