gene,description
ACKR3,Expression of TLR4 or CXCR7 is associated with tumor size and lymph node metastasis.
ACKR3,CXCR7 plays an important role in regulating growth and metastasis ability of papillary thyroid carcinoma (PTC) cell.
ACKR3,Study showed CXCR7 expression upregulated in osteosarcoma (OS) cells and positively correlated with distant metastasis suggesting that CXCR7 may represent a new biomarker involved in the development of OS.
ACKR3,"CXCR7 may regulate growth and metastasis of papillary thyroid carcinoma via the activation of PI3K/AKT pathway and its downstream NF-kappaB signaling, as well as the down-regulation of Notch signaling."
ACOT8,Acyl-CoA thioesterase 8 is a specific protein related to nodal metastasis and prognosis of lung adenocarcinoma.
ACP5,Elevated tartrate-resistant acid phosphatase 5b in serum is associted with extensive bone metastasis in breast cancer
ACP5,TRACP 5b activity and its interval change after treatment bore a prognostic role in breast cancer patients with bone metastasis and a high baseline serum TRACP 5b activity.
ACP5,Serum TRACP5b activity test is a potentially useful adjunct in diagnosing and monitoring bone metastasis in non-small cell lung cancer
ACP5,Trap-5b is overexpressed in renal cell carcinoma patients with bone metastasis and bone resorption.
ACTA2,Angiogenesis evaluated through the VEGF and MVD (CD105+ and alpha-SMA+) expression is correlated with the progression and metastasis of gastric cancer and could be considered a prognostic marker of these tumors.
ACTB,"Findings indicate that activation of the cofilin-F-actin pathway contributes to tumor cell migration and metastasis enhanced by Aur-A, revealing a novel function for mitotic Aur-A kinase in tumor progression."
ACTL6A,ACTL6A protein expression predicts poor prognosis of hepatocellular carcinoma and metastasis.
ACTN4,"Data suggest that ACTN4 plays roles in breast cancer tumorigenesis via promotion of cell proliferation, metastasis, and drug resistance."
ACTN4,ACTN4va expression was also significantly related to distant metastasis
ACTN4,"The contribution of ACTN4 to the process of lung cancer metastasis to the brain could be mainly through regulation of actin cytoskeleton reorganization, cell motility, and focal adhesion."
ACTR2,High mRNA levels of Arp2 were significantly associated with liver metastasis of colorectal cancer.
ACTR2,"Coronin3 can regulate gastric cancer (GC) invasion and metastasis through Arp2, and the combination of Coronin3 and Arp2 provides a potential marker for predicting GC prognosis."
ACTR3,"Study suggested that positive CFL1 and Arp3 expression are closely related to tumor progression, metastasis, and poor prognosis of gallbladder cancer."
ACVR1C,"ACVR 1C is a tumor suppressor, and lowered ACVR 1C expression is an important marker for the metastasis, invasion, and prognosis of gallbladder cancer."
ADAM10,"ADAM10 overexpression in colon cancer cells displaying endogenous L1-CAM enhanced L1-CAM cleavage and induced liver metastasis, and ADAM10 also enhanced metastasis in colon cancer cells stably transfected with L1-CAM."
ADAM10,"Expression of ADAM 10 in gastric cancer is significantly associated with lymph node and distant metastasis, high C-erbB-2 expression, and poor prognosis."
ADAM10,"PAX2 can regulate ADAM10 expression, a metalloproteinase known to play important roles in melanoma metastasis."
ADAM10,"These results suggest that ADAM10 is important in regulating the proliferation and metastasis of HCC. Thus, ADAM10 is a promising therapeutic target for the prevention of tumor metastases in HCC."
ADAM12,Upregulated expression of ADAM12m by TM4SF3 might play a key role in TM4SF3-mediated invasion and metastasis of esophageal cancer
ADAM12,"ADAM12 overexpression results in increased tumor take, tumor size, and metastasis in vivo. These findings suggest that ADAM12 may represent a potential therapeutic target in breast cancer."
ADAM12,"ADAM-12 is an independent prognostic factor and diagnostic marker, and is involved in the proliferation, invasion and metastasis of small cell lung cancer ."
ADAM15,"dispensable for cutaneous wound healing and B16F1 melanoma growth, but significantly contributes to metastasis formation"
ADAM15,"In conclusion, our data identified rhddADAM15 as a potent inhibitor of tumor growth and metastasis, making it a promising tool for use in anticancer treatment."
ADAM17,involved in metastasis of hepatocellular carcinoma
ADAM17,"ADAM17 mRNA expression in esophageal squamous cell carcinoma was correlated with lymph node metastasis and tumor, node and metastasis staging."
ADAM17,"High ADAM17 expression was associated with lymph node metastasis, vascular invasion, the presence of recurrence in patients with gastric cancer who underwent curative gastrectomy."
ADAM23,Intratumoral heterogeneity of ADAM23 promotes tumor growth and metastasis through LGI4 and nitric oxide signals.
ADAM28,"It plays a role in cancer cell proliferation, invasion and metastasis. (review)"
ADAM28,ADAM28 cleaves and inactivates proapoptotic VWF in carcinoma cells and enhances lung metastasis probably by promoting carcinoma cell survival within the blood vessels.
ADAM8,Upregulation of a disintegrin and metalloprotease 8 influences tumor metastasis with osteosarcoma.
ADAM8,"ADAM8 was highly expressed in 54.3% of hepatocellular carcinoma patients. ADAM8 expression was closely associated with tumor size, histological differentiation, recurrence, metastasis, and stage. High levels of ADAM8 resulted in poor prognosis."
ADAM9,is expressed in adenoid cystic carcinoma-associated metastasis
ADAM9,ADAM9 is an important molecule in the processes of invasion and metastasis.
ADAM9,Results show how ADAM9 regulates lung cancer metastasis to the brain by facilitating the tPA-mediated cleavage of CDCP1.
ADAMTS1,Overexpression of ADAMTS-1 promotes pulmonary metastasis of mammary carcinoma and Lewis lung carcinoma cells and that a proteinase-dead mutant of ADAMTS-1 inhibits their metastasis
ADAMTS1,"disintegrin and metalloproteinase with thrombospondin motifs (ADAMTS1) and matrix metalloproteinase-1 (MMP1), orchestrate a paracrine signaling cascade to modulate the bone microenvironment in favor of osteoclastogenesis and bone metastasis"
ADAMTS1,These findings suggest that ADAMTS1 expression is altered in primary gastric cancer and paired lymph node metastasis and has angioinhibitory effects.
ADAMTS13,Deficiency of vWF-cp activity in patients with colon cancer was shown to be associated with the progression of the disease and metastasis.
ADAMTS18,"ADAMTS18 mutations promote growth, migration, and metastasis in melanoma"
ADGRE5,"Elevated expression of CD97 and its ligand CD55 at the invasion front correlate with tumor recurrence and metastasis, and CD95 may be a poor prognostic factor for rectal adenocarcinoma."
ADGRE5,"CD97 enhanced TIMP-2 secretion, leading to reduced MT-MMP-1 and -2 activities, impairing cell migration/invasion in vitro and lung macrometastasis in vivo and upregulating integrins. Both the NTF and the CTF of CD97 were required."
ADGRF5,These findings show that GPR116 is crucial for the metastasis of breast cancer and support GPR116 as a potential prognostic marker and drug target against metastatic human breast cancer.
ADGRG1,"A significant correlation between GPR56, TG2, and NF-kappaB was observed that correlated with nodal metastasis and tumor invasion in esophageal squamous cell carcinoma."
ADGRL3,Increased LPHN3 mRNA expression levels correlated with axillary-node metastasis in breast cancer.
ADIPOQ,Linking adiponectin and autophagy in the regulation of breast cancer metastasis
ADM,Adrenomedullin peptide is widely expressed in breast cancer and that the degree of expression is associated with lymph node metastasis
ADM,we conclude that ADM expression is highly correlated with the degree of malignancy and metastasis of osteosarcoma.
ADM,"Results suggest that ADM plays an important role in intrahepatic cholangiocellular carcinoma metastasis, and that ADM signaling of epithelial-mesenchymal transition may represent a valuable therapeutic target in cancer patients."
ADORA2B,Identification of a pharmacologically tractable Fra-1/ADORA2B axis promoting breast cancer metastasis.
ADRB2,early inactivation of HIC1 in breast carcinomas could predispose to stress-induced metastasis through up-regulation of the beta-2 adrenergic receptor
ADRB2,Data show that beta2-AR plays an important role in prostate cancer metastasis formation.
AFAP1-AS1,AFAP1-AS1 expression was upregulated in NPC and associated with NPC metastasis and poor prognosis. In vitro experiments demonstrated that AFAP1-AS1 knockdown significantly inhibited the NPC cell migration and invasive capability.
AFAP1L1,Findings indicate a role for transcription factor Sp3 in sarcomas as a driver for expression of the metastasis-related gene AFAP1L1 (actin filament-associated protein 1-like 1).
AFAP1L2,This is the first study to reveal that XB130 overexpression may be related to the prediction of metastasis potency and poor prognosis for osteosarcoma patients
AFDN,"In pancreatic cancer cells, AF6 is expressed at reduced levels, causing Dvl2 to be upregulated and available to bind and enhance FOXE1-induced trans-activation of Snail, which promotes proliferation and metastasis."
AFP,AFP mRNA is a more reliable marker of metastasis compared to serum AFP
AFP,GPC-3 protein/mRNA overexpression and alpha-fetoprotein levels could be used as markers for the diagnosis of HCC and monitoring its metastasis.
AFP,High alpha-fetoprotein expression is associated with lymph node metastasis in colon cancer.
AFP,Liver metastasis was the only independent prognostic factor in AFP producing gastric adenocarcinoma.
AFP,"Although circulating serum AFP is known as a growth-enhancing factor during development, cytoplasmic AFP has a lethal role in the oncogenesis, growth, and metastasis of adult liver cancer."
AFP,"When confirmed by a low alpha-fetoprotein concentration (<400 mug/L), CK-19 expression in is an additional valuable indicator of early recurrence, distant metastasis, and poor prognosis in HBV-positive patients"
AGER,co-expression of RAGE and amphoterin is closely associated with invasion and metastasis of colorectal cancer
AGER,"Many RAGE ligands are expressed by cancer cells & many cell types within the tumor microenvironment. Via the RAGE receptor, these ligands interact in autocrine & paracrine manners, promoting cell proliferation, invasion, angiogenesis & metastasis. Review."
AGO1,"These data suggest that Axl acts as a tumor lymphatic metastasis-associated gene, and may function partly through the regulation of Cyr61."
AGO2,"EIF2C2-4 and PIWIL4 appear increased in advanced tumors with distant metastasis, suggesting they may promote tumor invasion"
AGO2,Argonaute2 promotes tumor metastasis by way of up-regulating focal adhesion kinase expression in hepatocellular carcinoma.
AGO2,"genetic polymorphism in AGO2 may be a risk factor for the advanced lymph node metastasis of NPC in Chinese populations, and AGO2 acts as an oncogene in the development of NPC."
AGO4,"EIF2C2-4 and PIWIL4 appear increased in advanced tumors with distant metastasis, suggesting they may promote tumor invasion"
AGR2,"hAG-2 and hAG-3, human homologues of genes involved in differentiation, are associated with oestrogen receptor-positive breast tumours and interact with metastasis gene C4.4a and dystroglycan."
AGR2,aryl hydrocarbon receptor ligands might contribute to tumor progression by inhibiting p53 regulation via the increased expression of the metastasis marker AGR2
AGR2,"In vitro, knockdown of CD147 or AGR2 decreased cellular proliferation, migration and invasion. In vivo, knockdown of CD147 or AGR2 expression decreased primary tumor growth as well as regional and distant metastasis."
AGR2,overexpression of AGR2 showed a positive correlation with oral tumor metastasis.
AGR2,These data suggest that AGR-2 influence prostate cancer metastasis by regulation of cellular adhesion and apoptosis.
AGR2,AGR2-mediated lung adenocarcinoma metastasis novel mechanism network through repression with interferon coupling cytoskeleton to steroid metabolism-dependent humoral immune response.
AGR2,The prognostic impact of AGR2 expression could be related to treatment outcome in estrogen receptor-positive breast cancers and/or its metastasis-promoting effects.
AGR2,"AGR2 was higher in HNSCC than in normal oral mucosa. High levels were associated with the T category, pathological grade and lymphatic metastasis. AGR2 expression increased in recurring HNSCC after radiotherapy or cisplatin-based chemotherapy."
AGR3,"hAG-2 and hAG-3, human homologues of genes involved in differentiation, are associated with oestrogen receptor-positive breast tumours and interact with metastasis gene C4.4a and dystroglycan [hAG-3 protein]"
AGT,"Angiotensin II contributes to each sequential step of cancer metastasis by promoting cancer cell adhesion to endothelial cells, trans-endothelial migration and tumor cell migration across extracellular matrix."
AGT,results suggest that diabetes-associated angiotensin activation enhances liver metastasis of colorectal cancer and may therefore provide a possible target for antimetastatic therapy in colorectal cancer
AGTR1,This is the first study indicating that ACE (I/D) polymorphism is associated with HER-2 expression and AT1R (A1166C) polymorphism is associated with tumor-node-metastasis stage in breast cancer patients.
AGTR1,"in colorectal cancer, AT1R expression showed a direct correlation with tumor stage and liver metastasis"
AGTR2,"in colorectal cancer, AT2R expression showed an inverse correlation with tumor stage and liver metastasis"
AHR,"Survival time, metastasis and occurrence of second primary tumors were compared in carriers of wild type and Arg554Lys variant AHR."
AHR,"AHR activation may inhibit lysophosphatidic acid-induced VEGF-A expression in prostate cancer (PC)-3 cells by attenuating hypoxia inducible factor (HIF)-1alpha signaling, and subsequently, suppressing angiogenesis and metastasis of PC."
AHR,"Also, current study suggest a new miRNA-based mechanism elucidating the anti-metastatic properties of Ahr agonists, suggesting possibility of using miR-212/132 to control metastasis in breast cancer patients"
AIFM1,Results identify PTEN as the substrate of AIF oxidoreductase and reveal a novel function for AIF in controlling tumor metastasis.
AJUBA,"the LIM protein JUB serves as a tumor-promoting gene in colorectal cancer by promoting epithelial-mesenchymal transition, a critical process of metastasis."
AKAP12,SERPINB5 and AKAP12 may have a role in increased metastasis in pancreatic ductal adenocarcinoma
AKAP12,AKAP12 variant 2 hypoxic induction shifts PKA-mediated protein phosphorylation to enhance migration and metastasis of melanoma cells
AKR1C2,"Identify two novel factors, AKR1C2 (positive factor) and NF1 (negative factor), as the AEG-1 downstream players in the process of metastasis in liver cancer."
AKR1C3,Silencing of AKR1C3 increases LCN2 expression and inhibits metastasis in cervical cancer.
AKT1,"Overexpression of TSC2 rescues the migration phenotype of myr-Akt1-expressing tumor cells, and high levels of TSC2 in breast cancer patients correlate with increased metastasis and reduced survival."
AKT1,"High expression of PI3K and Akt are involved in proliferation, malignant transformation, invasion and metastasis of cervical carcinoma."
AKT1,Overexpression of P-AKT and NF-kappaB p65 were involved in the carcinogenesis and metastasis of ovarian cancer.
AKT1,"KiSS1 metastasis suppressor gene product induces suppression of tyrosine kinase receptor signaling to Akt, tumor necrosis factor family ligand expression, and apoptosis."
AKT1,IRSp53 and spinophilin regulate localized Rac activation by T-lymphocyte invasion and metastasis protein 1
AKT1,HtrA1 has a role in promoting anoikis by attenuating activation of EGFR/AKT pathway that may contribute to its metastasis suppression capacity
AKT1,Role of germ line genetic variations in the PI3K-AKT-mTOR pathway genes as predictors of bladder cancer metastasis and invasiveness.
AKT1,lymph node metastasis and poor survival in invasive ductal breast carcinoma are linked to an uncoupling of the Akt-FOXO3a signaling axis
AKT1,"A novel binding interaction for Akt1 and focal adhesion kinase (FAK) makes them therapeutic targets for prevention of cancer cell adhesion and, eventually, cancer metastasis."
AKT1,"Selective activation of Akt1 through mTORC2 and P-Rex1 regulates cancer cell migration, invasion and metastasis."
AKT1,Expression of AKT was associated with lymph node metastasis of gastric carcinoma. Overall 5-year survival rate was significantly higher in patients with AKT expression.
AKT1,"mda-9/syntenin, a positive regulator of cancer metastasis, regulates the activation of Akt (also known as protein kinase B) by facilitating ILK adaptor function during adhesion to type I collagen (COL-I) in human breast cancer cells."
AKT1,"findings establish that Shh signaling promotes the metastasis of gastric cancer through activation of the PI3K/Akt pathway, which leads to mesenchymal transition and MMP-9 activation"
AKT1,Radiotherapy can increase the levels of AKT in nasopharyngeal carcinoma (NPC) cells that are associated with NPC metastasis and increase in mortality.
AKT1,miR-7 functions as a tumor suppressor and plays a substantial role in inhibiting the tumorigenesis and reversing the metastasis of hepatocellular carcinoma through the PI3K/Akt/mTOR-signaling pathway in vitro and in vivo.
AKT1,EphB3 suppresses non-small-cell lung cancer metastasis via a PP2A/RACK1/Akt signalling complex
AKT1,"SLIT2 suppresses colon tumor metastasis, and it exerts its suppressive activity against colorectal cancer metastasis by restraining AKT-GSK3beta signaling."
AKT1,"Found progressive loss of PTEN and increase in EGFR, TGF-alpha, P-AKT expression from benign samples to non small cell lung cancer. Changes were correlated to differentiation extent of cancer tissue, metastasis of lymph nodes and histological classification."
AKT1,"In a Chinese cohort, no significant difference was found between osteosarcoma patients and controls in the genotype of AKT rs6973569. However, after stratified analysis, the genotype AA of AKT rs6973569 carried a higher risk of osteosarcoma metastasis."
AKT1,"Our data suggest that Akt/Ezrin Tyr353/NF-kappaB pathway regulates EGF-induced EMT and metastasis inTSCC, and Ezrin may serve as a therapeutic target to reverse EMT in tongue cancers and prevent TSCC progression"
AKT1,miR-9500 repressed tumorigenesis and metastasis by targeting Akt1.
AKT1,"These data suggest that embelin can inhibit pancreatic cancer growth, angiogenesis and metastasis by suppressing Akt and Shh pathways, and can be developed for the treatment and/or prevention of pancreatic cancer."
AKT1,"Protein expression of PI3K, Akt and survivin were significantly associated with the development, progression and metastasis of gastric cancer and may have value as diagnostic and prognostic markers in gastric cancer"
AKT1,These findings suggest that BMP9 can inhibit the proliferation and metastasis of SK-BR-3 cells via inactivating ERK1/2 and PI3K/AKT signaling pathways.
AKT1,the important role of Akt during the process of invasion and metastasis in esophageal squamous cell cancer
AKT1,"EGFL7 enhances EGFR-AKT signaling, epithelial-mesenchymal transition, and metastasis of gastric cancer cells."
AKT1,High AKT1 expression is associated with lymph node metastasis of non-small cell lung cancer.
AKT1,RI represents an important predictor of progression in patients with CRC and suppresses proliferation and metastasis in CRC cells through inhibiting PI3K/AkT pathway.
AKT1,MALAT1 might suppress the tumor growth and metastasis via PI3K/AKT signaling pathway.
AKT1,this study is the first to demonstrate that HG treatment of A549 human lung epithelial cells promotes tumor cell invasion and increases metastasis-associated protein expression by up-regulating HO-1 expression via ROS or the TGF-1/PI3K/Akt signaling
AKT2,"data indicate that AKT2 mediates PI3-K-dependent effects on adhesion, motility, invasion, and metastasis in vivo"
AKT2,the consequence of PTEN loss and Akt2 overexpression function synergistically to promote metastasis
AKT2,Akt2 up-regulates beta1 integrins & promotes adhesion & invasion of breast cancer cells in vitro & also metastasis in vivo. It opposes Akt1. Review.
AKT2,"The positive rate of AKT2 protein expression in laryngeal squamous cell carcinoma was significantly higher than that in peri-cancer tissue and normal laryngeal epithelium, and was correlated with tumor site, lymph node metastasis and clinical stage."
AKT2,miR-137 which is frequently down-regulated in gastric cancer is potentially involved in gastric cancer tumorigenesis and metastasis by regulating AKT2 related signal pathways
AKT3,miR-145 suppresses thyroid cancer growth and metastasis and targets AKT3
AKT3,"Flot-2 exerts a pro-neoplastic role in NPC and is involved in tumor progression and metastasis. Moreover, Flot-2 exerts its role through NF-kappaB and PI3K/Akt3 signaling."
AKT3,Downregulation of AKT3 increases migration and metastasis in triple negative breast cancer cells by upregulating S100A4.
ALCAM,Overexpression of activated leukocyte cell adhesion molecule is associated with tumor invasion and nodal metastasis in esophageal squamous cell carcinoma
ALCAM,"This study has, for the first time, shown that patients who develop skeletal metastasis tend to have the lowest levels of ALCAM transcripts in their breast cancers."
ALCAM,"Data suggests that loss of ALCAM expression, due in part to DNA methylation of extensive segments of the promoter, significantly impairs the ability of circulating tumor cells to adhere to each other, and may therefore promote metastasis."
ALCAM,ALCAM is expressed at high levels in breast cancer membranes resulting in weakened adherent ability and metastasis.
ALCAM,High ALCAM expression is associated with brain metastasis.
ALDH1A1,High aldehyde dehydrogenase activity is associated with tumor-initiating and metastasis-initiating cells in prostate cancer
ALDH1A1,The results indicate that high expression rates of ALDH1 might be a prediction marker for oral squamous cell carcinoma lymph node metastasis.
ALDH1A1,"Our results provide the strong evidence that ALDH1A1(high) cancer stem-like cells contribute to the invasion, metastasis and poor outcome of human esophageal squamous cell carcinoma."
ALDH1A1,High ALDH1 expression is associated with metastasis or recurrence in invasive ductal breast cancer.
ALDH1A1,the ratio of ALDH1A1 level in adjacent mucosa to that in tumor tissues a novel biomarker to reflect the distinct expression patterns of ALDH1A1 for predicting metastasis and prognosis of colorectal cancer
ALDH1A1,"Expression of LGR5 and ALDH1A1 was associated with the tumorigenicity, metastasis and poor prognosis of NSCLC, and LGR5 cells in NSCLC were likely have stem cell-like properties due to the significant correlation between LGR5 and ALDH1A1."
ALDH1A1,"Combined expression of ALDH1A1(high) and beta-catenin(c) was associated with lymph node metastasis, poor outcome, and resistance to cyclophosphamide treatment."
ALDH1A3,"ALDH1A3 expression in patient breast tumors correlates significantly with tumor grade, metastasis, and cancer stage"
ALDH3A1,"While ALDH3A1 was not found in prostate glands, it was present in prostatic intraepithelial neoplasia, further increased in carcinomas, and upregulated in lymphatic metastases. ALDH3A1 increased in DU145-cell-derived lung metastasis vs. local xenografts."
ALDH7A1,The aldehyde dehydrogenase enzyme 7A1 is functionally involved in prostate cancer bone metastasis.
ALDOA,"ALDOA is highly expressed in lung squamous cell carcinoma (LSCC) and its expression level is correlated with LSCC metastasis, grades, differentiation status and poor prognosis."
ALDOA,"Study provides evidence supporting a critical functional role of ALDOA in osteosarcoma progression, metastasis and perhaps chemoresistance."
ALDOA,In vitro and in vivo results demonstrated that ALDOA was associated with proliferation and metastasis of pancreatic cancer cells.
ALK,"in patients with nonsmall cell lung cancer, ALK gene rearrangement was significantly associated with pericardial disease and pleural disease; patients with ALK gene rearrangements and patients with EGFR mutations were predisposed to liver metastasis compared to triple negative cohort"
ALK,ALK gene rearrangement is associated with metastasis in non-small-cell lung cancer.
ALK,ALK gene rearrangement is associated with spinal cord metastasis and leptomeningeal carcinomatosis in non-small-cell lung cancer.
ALK,"Adenocarcinomas with ALK rearrangement appeared as solid masses with lobulated margins at CT, were more likely to be associated with lymphangitic metastasis, advanced ln metastasis, and pleural/ pericardial metastasis than were tumors with EGFR mutations."
ALK,"ALK protein expression, phosphorylation, and genetic aberrations was measured by the FISH technique in 81 soft tissue tumor samples. ALK-phosphorylation-positive cases showed a statistically worse metastasis-free survival."
ALK,"Case Report: lung adenocarcinoma with different histological types between primary tumor and metastasis, but both haboring ALK-rearrangement."
ALOX15,"15-LOX-1 promotes various anti-tumorigenic events, including cell differentiation and apoptosis, and inhibits chronic inflammation, angiogenesis, and metastasis. [review]"
ALOX15,These findings demonstrate that 15-LOX-1 expression loss in cancer cells promotes metastasis and that therapeutically targeting ubiquitous 15-LOX-1 loss in cancer cells has the potential to suppress metastasis.
ALOX5,Results suggest that the level of 5-LOX expression was increased in pancreatic cancer tissues and may be related to lymph node metastasis and TNM stage.
ALPL,Data indicate that alkaline phosphatase (AP) velocity kinetics (APV)is an independent predictor of overall survival (OS) and bone metastasis-free survival (BMFS) in patients with -resistant prostate cancer (CRPC).
ALPP,"Data show that serum alkaline phosphatase, Gleason score, and intensity of bone metastasis are important and statistically significant prognostic factors, and affects time to progression and life time."
ALPP,High serum alkaline phosphatase cooperating with MMP-9 is associated with metastasis in patients with primary osteosarcoma.
ALYREF,High ALY expression is associated with lymph node metastasis in oral squamous cell carcinoma.
AMACR,AMACR might be a potential prognostic marker for predicting early recurrence/metastasis of hepatocellular carcinoma after hepatectomy.
AMBP,Transfection into H460M Human large cell lung carcinoma line decreased tumor growth and metastasis in nude mice
AMBP,bikunin has a role in downregulating PI3 kinase and suppressing tumor invasiveness and metastasis in ovaran cancer cells
AMFR,Findings suggest a strong correlation between the expression of AMFR and RhoC and a correlation between them and invasion and metastasis of hepatocellular carcinoma.
AMFR,gp78 promotes sarcoma metastasis by targeting KAI1 for degradation
AMFR,High AMFR expression is associated with invasion depth and lymph node metastasis in gastric cancer.
AMOT,AMOT is a crucial suppressor of lung cancer metastasis and highlight its critical role as a tumor suppressor and its potential as a prognostic biomarker and therapeutic target for lung cancer.
ANGPT1,angiopoietin-1 has roles in attachment and metastasis of human gastric cancer cell line BGC-823
ANGPT2,Serum angiopoietin-2 is a useful clinical marker for detecting non-small cell lung cancer with distant metastasis and is of potential prognostic value.
ANGPT2,"High expressions of HIF-1alpha and Ang-2 proteins in laryngeal squamous cell carcinoma may play an important role in tumor growth, invasion and metastasis."
ANGPT2,"These findings indicate that Ang-2 participates in the control of lymphatic metastasis, constitutes a noninvasive prognostic biomarker, and may provide an accessible therapeutic target in pancreatic ductal adenocarcinoma."
ANGPT2,"Ang-2, Tie-2 and VEGFR-2 are involved in the development, invasion, metastasis, and prognosis of colorectal cancer, and play important roles in angiogenesis."
ANGPT2,Ang-2 is involved in initial steps of the triple-negative breast cancer brain metastasis cascade
ANGPTL2,tumor cell-derived ANGPTL2 drives metastasis and provided an initial proof of concept for blockade of its action as a strategy to antagonize the metastatic process.
ANGPTL2,findings demonstrate that preventing ANGPTL2 signaling stimulated by the tumor microenvironment could inhibit tumor cell migration and metastasis
ANGPTL2,Serum ANGPTL2 improves preoperative detection of LN metastasis in CRC
ANGPTL4,Suggest that the ANGPTL4 is one of the factors involved in the venous invasion and metastasis of human gastric cancer.
ANGPTL4,High ANGPTL4 is associated with olorectal cancer venous invasion and distant metastasis.
ANGPTL4,ANGPTL4 is a target gene of HIF-1alpha and acts as an important regulator in the metastasis of hepatocellular carcinoma.
ANGPTL4,inhibition of HIF-1 activity in BrCa cells inhibits primary tumor growth and metastasis of BrCa cells to the lungs by blocking expression of angiopoietin-like 4 (ANGPTL4) and L1 cell adhesion molecule (L1CAM);ANGPTL4 inhibits endothelial cell(EC)-EC interaction; L1CAM increases the adherence of BrCa cells to ECs
ANGPTL4,overexpression of Angptl4 may promote invasion and metastasis in Colorectal cancer (CRC).
ANGPTL4,results demonstrate ANGPTL4 contributes to OSCC metastasis by stimulating cell invasion. ANGPTL4 is potential therapeutic target for preventing cancer metastasis.
ANGPTL4,ANGPTL4 might promote metastasis and might inhibit apoptosis of colorectal cancer cells by up-regulation of BMP7.
ANGPTL6,Interaction between alpha6 integrin and E-cadherin drives liver metastasis of colorectal cancer cells through hepatic angiopoietin-like 6.
