,seqnames,start
34946,12,54300889
34983,12,79915227
35235,8,9041003
35276,7,47540550
35328,10,103449765
35431,5,115545018
35546,17,81642320
35603,11,31817126
35751,3,181726724
35767,12,53965977
35855,5,159099606
36007,17,83095254
36073,13,112983501
36091,10,114045209
36212,6,146598878
36516,3,105368398
36829,2,8575624
37282,7,5371357
37310,10,99612394
37466,9,78151023
37563,6,49550390
37606,7,43054797
37613,13,99896656
37690,10,68900772
38210,15,66293686
38523,20,36431655
38547,7,92613056
38557,21,46324198
38775,16,628127
38787,14,50830616
38823,13,28338609
38928,10,69573446
39216,1,212488675
39321,12,138149
39452,7,29988691
39538,12,123937712
39546,20,62427601
39671,1,2088087
39694,6,160102699
39835,6,157943804
39911,10,88586840
39925,1,171841638
39963,3,84958808
40101,21,45433499
40118,7,19118190
40244,10,133378109
40338,17,74752050
40485,2,217905485
40599,14,99174680
40604,2,42568053
40643,1,35930844
40782,15,74952134
40822,17,40938889
40876,7,39311076
40992,13,114001746
41029,4,185210131
41437,5,180620299
41500,11,1006303
41520,5,45695820
41821,17,81445762
41827,3,188212916
42072,18,32773320
42076,8,73285443
42086,10,101067833
42146,17,897272
42148,11,64285888
42213,1,31614686
42251,1,12344888
42297,18,67515419
42334,5,171667933
42488,20,63736453
42514,17,59220357
42750,10,43648595
42857,9,136236805
42979,15,66294155
43052,2,27735554
43301,7,142797060
43326,14,105330627
43502,6,34692517
43663,17,81917510
43669,11,93491044
43685,1,6273783
44524,2,46941394
44537,1,46303628
44589,16,49826991
44607,12,52007664
44814,8,28386957
44835,1,1020340
44838,22,35623585
44910,13,28100314
44980,11,65481871
45006,11,112074166
45048,2,173964147
45065,1,178871002
45092,17,15619562
45203,19,17606285
45314,10,124642336
45338,17,67717766
45407,2,430882
45434,6,34092010
45473,15,40662273
45547,11,36510374
45652,13,112837728
45691,2,71560485
45785,10,110210270
45901,22,19022955
45984,17,59841321
46020,10,119176200
46049,17,28725810
46141,20,1122637
46174,11,638076
46240,3,46497523
46377,7,1101705
46473,12,124569865
46506,12,52849138
46608,6,11855050
46750,16,82037828
46828,17,58517633
47158,7,35982666
47299,3,152051579
47326,11,43644420
47423,1,1308182
47425,16,69417644
47445,7,138798081
47448,14,101029267
47582,2,54527764
47590,19,44647241
47655,2,173184504
47804,4,121072968
47958,18,55780365
48048,19,13253050
48088,3,172195293
48132,2,235614718
48243,14,32128527
48485,2,25982226
48674,1,159826827
48694,2,17878238
48708,12,130042252
48755,19,8139596
48912,13,60397210
48951,16,29808130
48976,19,3586907
48982,4,1806302
49071,15,74236222
49109,12,62800221
49301,2,174025117
49335,12,38202061
49536,1,75787760
49608,3,47512894
49646,1,237041874
49910,6,28443646
49965,19,1254067
50034,16,69089380
50035,17,81403865
50054,16,90026347
50068,17,70104803
50093,16,3029707
50162,13,20521573
50225,15,67067187
50231,15,101242832
50275,9,121268230
50278,5,127228914
50316,1,110675457
50394,6,90296602
50677,8,9555413
50709,1,17419790
50835,9,37026421
50930,8,142320923
50931,16,1537809
50948,1,154558206
50951,13,110438395
50952,17,81832315
51241,15,90245966
51478,7,130734372
51537,17,64962134
51552,6,135851617
51664,19,4672878
51687,1,167222123
51762,11,448262
51893,1,30904534
51912,12,57234871
52158,5,43040072
52167,11,2886104
52199,6,46130047
52389,2,40455067
52423,22,41288702
52440,15,66347368
52524,1,39104651
52590,10,133058751
52885,6,163100135
52889,10,121928111
52992,10,123144610
53146,15,63504696
53181,11,128909760
53191,7,4712432
53518,6,161171189
53604,16,51151149
53628,2,112163140
53709,17,1998670
53746,17,7592563
53801,8,116938156
54222,5,141223317
54279,19,35155247
54363,3,93983814
54428,17,20590190
54433,19,7609461
54508,16,75646637
54565,8,143334157
54566,8,120812689
54639,8,134597955
54860,1,43979023
54936,1,209755550
54982,1,39133040
55053,17,57473252
55376,12,29783906
55508,1,180155404
55542,10,119598012
55790,6,2515084
55797,3,178536425
56426,8,125637563
56489,11,614761
56645,2,88013832
56678,6,37680499
56907,5,67001150
57172,5,129460404
57320,17,28614235
57361,4,127045484
57434,16,2215387
57619,2,178116280
57667,2,235750385
57696,8,141043858
57705,12,69825429
57896,1,15847855
57935,13,36346970
58275,4,159383674
58299,14,58641019
58341,10,16438653
58440,17,1492780
58524,2,202171485
58616,17,40093099
58699,8,143553377
58724,14,75392893
58939,10,13347395
59007,19,17240491
59094,8,55101240
59109,11,2461171
59137,16,75026210
59315,4,23818306
59506,4,25843588
59656,5,74865362
59701,19,47006820
59807,17,75405944
59834,10,77638657
59847,16,11597062
59879,19,2216726
59894,10,558092
59929,2,174585779
59945,17,50559894
59961,15,60397471
60048,2,217905547
60243,7,30475670
60428,3,57165505
60558,17,68199166
60572,3,31977933
60653,13,53200900
60733,15,78830302
60786,13,73913398
60817,17,78855756
61001,16,85162744
61035,11,19714702
61353,1,86468682
61368,1,3417537
61456,20,25585243
61500,7,38178216
61931,7,27144490
61983,4,56314169
62180,19,51022382
62258,2,19049381
62313,16,55057286
62604,13,20177806
62633,21,44958439
62940,1,2534836
63385,12,53371403
63401,2,72924328
63508,19,38264215
63548,16,52549150
63599,19,45467707
63697,17,82230010
64258,6,138774003
64326,10,55631295
64830,19,12069074
64835,11,30017068
64988,16,30924707
64992,17,50468960
65099,17,29166780
65234,1,234214581
65253,16,2008700
65423,7,6577288
65428,10,48463622
65475,12,121465525
65517,11,118176488
65647,6,170059039
65759,10,96416983
65925,19,52536490
65946,3,14473149
66087,8,81051144
66292,21,40846625
66360,3,34014308
66554,7,96327863
66565,13,40653845
66661,4,119068797
66722,14,37595996
66724,4,83011015
66791,7,76327723
66845,4,8072077
66961,3,149464078
67252,19,13874699
67316,15,25051481
67424,4,147683640
67504,5,179060381
67650,8,25000379
67687,2,130916788
67716,11,119356618
67996,2,228181799
68074,1,201469317
68427,10,48274724
68900,2,118310003
68964,7,100476313
69266,11,69640445
69324,8,127795817
69500,1,65510489
69584,17,76027384
69640,19,2227700
69891,19,54449675
70287,4,183399034
70479,8,1846461
70512,12,114691996
70555,10,27745927
70687,5,865235
70740,7,2844445
70857,8,102968838
70974,4,164977760
71053,6,75085084
71322,1,87132386
71810,8,144900897
71832,6,42984674
71938,10,28533553
71953,2,951948
72175,10,131575099
72200,17,7440731
72268,14,74480257
72278,7,128402837
72338,2,148875030
72442,14,20461454
72554,14,23545292
72662,10,27240862
72684,12,57178630
72732,5,40685887
72818,17,32928617
73200,10,12129246
73218,19,43820595
73285,19,53058558
73427,6,4942249
73799,19,49597266
73887,19,55082212
73975,7,155457604
74120,20,45631273
74645,5,1107740
75126,20,2536439
75815,13,44373787
75816,10,123151296
75913,10,49759771
75943,1,16955324
76091,1,24848802
76241,5,98776733
76490,12,46187416
76500,17,50840728
76580,7,26154185
76835,2,234954721
77062,11,111913662
77127,6,2917060
77130,1,64245350
77132,1,116006606
77165,7,66493996
77226,11,18324854
77343,17,41914438
77380,12,57058328
77402,1,229223741
77560,16,3035866
77596,1,52686409
77709,12,29783474
77719,14,56118374
77747,3,146251931
77915,10,95039108
77960,1,24112797
78123,2,38077578
78294,3,54629543
78449,2,176142219
78537,6,25042269
78603,12,24584845
78705,2,3449342
78858,21,44331321
79002,2,66435453
79080,3,84958954
79154,2,20225919
79160,22,32356782
79242,9,128921583
79460,12,51083575
79629,12,132292599
80058,17,75915035
80103,12,108731633
80141,8,19316805
80154,12,57238337
80213,2,174025201
80291,12,28191233
80484,2,120384988
80537,11,128905804
80580,6,79947698
80615,17,4222301
80633,10,22252513
80683,11,68118138
80944,6,143540046
81073,1,15604560
81157,16,62036342
81195,18,79022766
81576,10,3781566
81617,8,96268599
81711,1,205531548
82016,21,41715694
82043,3,69866298
82084,11,62922085
82102,8,23404454
82106,17,76716347
82143,9,127245559
82228,1,44778288
82298,13,43022470
82345,19,48320170
82380,14,68404711
82396,19,15911662
82723,21,37268178
82898,11,123525797
83067,5,3346696
83184,9,134357993
83193,14,19826846
83494,17,58192837
83586,8,90645162
83721,13,50128659
83729,4,108172062
83912,6,136792187
83967,4,25914300
84013,9,973198
84416,3,170418475
84442,1,61054216
84600,16,75566666
84675,21,44967314
84877,2,100817620
84939,18,76494936
84999,17,32142919
85021,6,52359847
85261,10,29482814
85291,16,2979752
85414,10,26438140
85521,17,80337757
85574,4,11426076
85620,3,65357208
85900,9,34255151
86247,17,58084667
86265,1,241356986
86462,9,125887534
86479,11,56491792
86547,12,99155172
86598,8,143598723
86619,6,99602786
86735,14,102819419
86854,14,99198007
86885,1,16648090
86966,9,136829431
86970,20,63775075
87042,17,50560088
87177,18,48923019
87326,8,123207459
87435,8,143951883
87498,19,5824054
87508,22,41560806
87538,7,2375313
87566,9,128251044
87582,7,143288152
87726,20,63007081
87757,1,201740007
87793,11,2795951
88089,10,485622
88160,17,17837154
88279,9,137788760
88415,9,13705642
88430,17,12786720
88543,22,38872200
89028,15,51751754
89110,3,171457924
89216,9,124766219
89298,17,34157240
89435,9,32548606
89736,13,110665675
89769,7,26153346
89779,22,21735843
89909,2,9247343
89917,8,28728293
90010,2,231052499
90325,3,48919504
90327,22,20438248
90328,10,88897221
90391,7,53035883
90414,4,158157714
90504,16,52121
90795,13,112842086
90842,14,67571404
90970,19,15398689
91059,12,4720661
91169,20,3795677
91238,22,31346753
91402,22,23070229
91408,12,114667415
91423,6,75493814
91489,12,117048359
91549,3,195886770
91552,1,217431269
91753,11,44977651
91815,2,239275181
91878,11,60910338
91894,1,116312290
91961,19,48746995
92321,18,77249781
92386,2,38407255
92507,10,75405409
92530,1,47191181
92544,17,28955046
92547,19,18777989
92933,2,72924837
92973,10,132395843
93038,17,7261936
93064,8,123541342
93111,10,3118782
93157,8,144308846
93158,5,132658036
93200,5,102796317
93257,10,86943038
93266,12,213475
93273,11,111937380
93275,2,187825254
93341,6,116370219
93379,13,80337557
93404,17,64496618
93502,1,207823114
93559,12,104736504
93688,3,195180628
93765,17,50128194
93801,8,105319767
93944,12,98895517
94099,14,28762103
94550,1,24848572
94609,12,57236639
95086,15,101652247
95262,6,3114896
95571,12,34341061
95603,4,110621958
95626,11,563990
95906,17,28576854
95991,2,182318547
96071,14,77158195
96182,17,81027168
96224,12,54053812
96542,3,64685639
96669,2,199469835
96870,1,198859114
96893,14,51328214
97019,11,2902034
97099,1,37935792
97379,19,22622999
97433,1,29124723
97507,11,3160889
97925,20,56412020
98056,4,76216929
98406,1,207910726
98418,17,39864353
98816,3,114317748
98965,1,152034739
99118,10,72260670
99161,16,75625986
99363,11,76796164
99487,4,138910910
99775,14,57268827
99788,16,4335297
99870,14,21056972
99953,14,70247672
99975,4,121072937
100043,22,25420946
100046,11,2701171
100131,17,7465747
100201,8,902569
100376,19,10096515
100440,16,19715820
100484,5,172637549
100518,16,58039913
100617,1,58781815
100733,5,172958807
101063,6,150142854
101088,3,123071331
101138,15,34755002
101286,16,635785
101318,18,77108537
101401,17,42288004
101423,2,72924466
101629,11,30584034
102007,1,202709961
102010,17,2054538
102079,7,146116345
102105,17,75753613
102139,11,76455822
102498,7,32074585
102791,7,124766181
102950,2,68122973
102953,2,133568795
102975,19,45885674
103067,1,35269201
103114,17,76072708
103129,1,243474664
103208,15,72758257
104008,17,78802121
104121,17,79950866
104222,19,36573478
104264,2,71227370
104362,19,58575271
104365,2,38605873
104400,11,2460315
104662,12,124380111
104688,19,55476261
105069,10,133378550
105245,1,6080529
105300,19,13506198
105340,12,95358741
105366,4,76011364
105431,8,141182388
105485,17,75635506
105536,17,43907854
105596,3,171809467
105693,6,168274172
105706,1,17247683
106200,4,152309478
106255,19,43820856
106354,17,75087792
106481,21,36247740
106657,10,60141747
106856,22,49091531
106900,10,29849659
107025,20,63894897
107042,1,203075802
107247,19,55117627
107249,15,41621545
107488,22,23388320
107561,6,10382931
107571,8,133568800
107581,11,7513758
107622,22,50434971
107666,17,7855536
107748,8,79766690
107955,11,115959214
108101,4,105708505
108255,15,31102082
108331,13,25047190
108496,14,55268266
108577,6,62286278
108646,17,17281318
108659,1,877159
108734,12,33439350
108905,3,46987845
108929,17,81488796
109050,1,202013244
109082,10,89591470
109415,2,111030778
109892,6,158939177
110050,19,18650754
110061,17,36090184
110183,2,85102707
110264,15,57704281
111129,10,8055028
111199,17,28521326
111302,7,101916234
111408,14,68958039
111416,13,99979996
111467,3,126911635
111741,6,37500281
111850,6,36441590
111857,7,141074361
112219,5,77641686
112612,1,218383753
112649,6,62286309
112702,8,123430062
112804,2,79511493
112941,6,27810080
113088,7,90403221
113140,13,110513090
113167,3,146143122
113281,12,132607009
113633,15,75208684
113649,17,43125196
113711,14,55129240
113929,11,75419025
114080,12,57888723
114192,10,102556306
114267,7,36762923
114484,10,79394425
114554,17,82602222
114974,11,67267069
115100,13,20431111
115165,19,40467464
115242,17,38563282
115363,19,1812079
115443,2,241645870
115558,19,33132005
115802,2,1743310
115981,11,134731217
116087,4,56592697
116178,11,66312234
116346,2,68936982
116353,2,157628903
116677,14,49971433
116695,10,8054639
117082,4,74308357
117089,1,11653586
117385,12,52839030
117416,7,111090749
117452,19,48325155
117485,17,57406483
117516,6,44063255
117654,8,22865695
117716,3,138950295
117718,11,1008337
117957,14,99971884
117985,13,76976444
118007,1,200453543
118032,10,133465506
118152,1,209938216
118156,8,141222853
118190,19,45815895
118511,17,43483947
118600,6,44058738
118653,1,15727230
118703,16,67014566
118712,11,72080669
118965,20,1266071
119071,17,79951518
119141,19,55503445
119276,1,230979114
119283,11,65184327
119293,12,29783912
119336,19,33621323
119434,2,201698864
119675,6,50717385
119735,2,135837691
120003,1,156082001
120034,7,70789824
120122,2,96665298
120176,8,60175748
120244,1,22572949
120308,7,66682522
120315,2,56188443
120360,4,18018314
120498,5,44389180
120754,11,71577468
120917,14,57485442
120918,18,46946780
120988,1,226828026
121018,13,52156943
121078,10,48684909
121454,10,97869193
121539,21,34096401
121578,6,168229628
121624,1,113675564
121776,4,44447721
121939,12,56038360
122069,3,184601778
122080,17,37493542
122344,12,69362799
122553,8,677132
122783,12,56634772
122885,1,247857048
122891,13,114151822
123033,14,36510553
123334,2,212427817
123433,19,20078303
123507,3,24494983
123680,22,43421378
123706,17,81614685
123720,2,16508553
123890,13,110665588
123954,6,49787392
123984,3,160565594
124140,2,219460647
124311,11,60937144
124348,5,136192175
124588,1,33375980
124643,9,8713788
124701,15,40744588
124742,19,10320985
124868,9,132637733
125019,5,508070
125195,3,112642105
125314,13,25096189
125386,7,116526770
125552,13,74552805
125556,1,201000545
125757,1,5890773
125770,1,228457926
125837,17,62750899
126103,8,41529345
126433,15,28113156
126687,2,173359434
126720,3,186574795
126776,15,78266064
126945,2,159712178
126978,6,83709005
127153,6,24356850
127206,3,187735075
127301,12,75480776
127303,8,9898991
127317,19,46784809
127367,6,34792293
127387,8,66439362
127554,8,30575945
127689,17,7854886
127715,17,75750105
127766,2,136118451
128069,8,144730639
128304,1,145979699
128344,6,99353324
128371,19,55283110
128437,2,232838410
128492,7,30697983
128531,6,62286225
128552,1,27600172
128580,7,983268
129019,17,82615104
129221,6,45556609
129415,17,7916153
129472,4,41538098
129582,20,1226038
129701,11,111296579
129940,8,143318043
130010,2,47030445
130211,12,11718802
130445,15,69298809
130656,2,23629115
130710,6,167989667
130838,1,91021602
130974,19,39935704
130984,16,87218233
131229,3,105368327
131270,17,20896219
131277,13,112843994
131389,3,146605291
131406,7,65398002
131475,20,20365782
131496,13,40537356
131670,19,14247774
131775,1,1007118
131793,2,120220352
131912,2,70964988
131932,6,14712116
132138,12,114667714
132154,6,3517719
132186,7,151277285
132229,7,95592792
132264,6,167815678
132355,17,1078403
132476,17,42674194
132715,8,39107507
133039,2,219391679
133153,2,104868050
133181,15,80788081
133292,10,22477152
133740,1,46530874
133781,3,64225315
134094,1,204360058
134296,13,112968394
134316,12,72271991
134480,5,129460406
134659,5,139276077
134675,5,1876054
134676,7,37109188
135041,14,101065256
135082,1,12496514
135110,2,169581915
135152,5,136365362
135688,12,2230347
135696,19,46788903
135881,10,87020184
135983,14,22105206
136167,3,49022054
136177,3,12817388
136477,10,101061795
136596,11,369133
136965,20,37385025
137243,10,3781598
137285,21,36699373
137405,14,56805526
137431,17,339211
137448,8,21750768
137485,3,11846883
137585,4,73574279
137640,19,11554325
137721,12,50953164
137810,7,1940586
137864,2,24361084
138331,2,101113843
138964,6,44297932
139006,3,9792769
139266,6,16729379
139343,13,44373903
139582,4,139014958
139617,10,18400574
139684,11,19350467
139798,1,151720746
139876,4,158173125
139889,14,103532728
139904,3,58389196
139955,17,27332583
140032,15,41894981
140061,12,4487260
140309,4,186596785
140324,12,109052827
140346,5,174751644
140376,11,66136898
140432,12,120649886
140497,11,45850385
141043,19,979382
141136,19,2062523
141176,17,29140403
141380,19,35121354
141390,10,113162882
141472,19,49684736
141567,7,47540649
141657,8,19820502
141666,6,43021619
141694,21,34690514
141894,8,27919371
141938,13,107868218
142300,10,73651059
142328,1,111200649
142376,6,44275567
142456,17,80725022
142783,17,1404550
142826,1,85578420
142847,7,148434184
142934,6,5287610
142937,17,19716592
143202,8,98942451
143375,5,114362748
143502,10,60915211
143564,1,204360030
143607,17,75646406
143644,17,4786470
143726,3,44761799
143829,11,47254918
143884,11,129372635
144025,8,144474868
144096,14,23548673
144192,21,41820203
144228,12,124424071
144268,17,81466023
144348,5,93742153
144491,1,245510985
144535,10,119819127
144610,10,1380670
144635,10,123967081
144752,2,69767093
144769,14,75430639
144775,19,18650463
144848,2,238390652
144857,10,14834068
144861,17,48615060
144956,11,27472586
144992,11,73264359
145071,4,157220784
145123,4,173506237
145156,10,61780266
145241,1,67833810
145427,3,197456711
145449,5,140842668
145454,3,45943450
145466,15,72197075
145553,8,127795771
145567,18,9338367
145628,15,85741238
145688,1,116493710
145730,1,226690718
146080,6,144007780
146481,17,15409842
146777,17,80101111
146954,15,85690005
147041,10,100827242
147481,11,66267425
147538,18,4455337
147655,17,44247024
147817,4,5050799
148047,13,102397404
148066,1,50427986
148170,19,13764297
148424,2,44937581
148477,18,52345644
148532,21,45480840
148949,6,109691432
149125,14,71397039
149133,2,73285020
149371,1,26112354
149514,1,12593708
149622,7,50732505
149727,5,959026
149821,11,132114090
149900,8,28374659
150134,5,65099717
150287,1,99264224
150377,10,97714271
150405,15,43106104
150645,10,12606033
150770,10,132454492
150943,8,71843333
150971,19,7918992
150992,11,67650934
151026,1,209626008
151128,6,168411889
151162,17,50129385
151227,20,36461435
151405,3,50336873
151433,1,46132209
151468,6,56955588
151775,17,16535756
151895,4,2430586
151988,15,83107668
152266,7,139753782
152489,6,113361273
152632,11,112176240
152729,10,101061808
152734,1,2243359
152870,2,201140043
153152,5,13783575
153391,6,62286214
153927,12,111733998
154147,6,16635926
154186,5,151924861
154190,10,124589933
154288,17,75635705
154369,10,13162110
154593,7,30911817
154700,8,1633402
154826,10,110211430
155008,12,121391940
155224,17,81279985
155241,14,30875797
155664,11,101034339
155683,16,31214029
155768,11,58927620
155995,17,67531450
156058,3,15181190
156214,10,102714673
156287,2,101329405
156665,6,135851680
156770,19,1230172
156774,6,35297602
156790,4,153793135
156793,8,144312662
156884,7,6615249
156913,19,35768242
157085,7,12756888
157111,11,61820508
157136,19,45553649
157293,10,62817647
157350,3,126476338
157449,2,240561925
157534,17,48614985
157590,10,6217158
157624,7,102912922
157658,19,6008116
157874,20,45946382
157979,10,114179265
158029,18,32092021
158064,17,82410642
158077,4,99511109
158209,2,157257673
158266,7,151018942
158327,10,45418828
