seqnames,start
7,100095279
2,25982837
19,49119832
16,55332038
19,11739095
7,87934210
18,61551564
5,1067996
12,98644457
20,35542288
11,120325662
5,140171503
12,109131311
6,117906897
13,99895643
3,41158555
16,706586
4,153790754
7,97024873
1,197413641
19,51367819
10,97850108
10,63629455
7,5593964
16,29692138
2,43227337
1,202861367
1,205813121
12,51048689
3,197749690
19,7534287
18,31943463
15,80780259
15,66386712
3,52154991
16,726809
2,113325141
6,168233237
7,157568929
1,175193000
10,50992004
13,26051135
7,102289612
7,48036247
17,35187866
9,106862898
3,173395786
19,53716353
17,58352517
1,51236068
17,55349296
5,956228
22,39487187
10,11204649
1,14742470
10,68955822
6,2952793
6,136922090
6,107957931
18,5295792
1,109229817
2,128345588
13,23889537
6,18156170
1,150257950
9,89605702
1,45491260
1,6599206
14,75069427
17,7583931
5,55307891
3,99817805
5,141512803
19,45712921
1,228103167
16,74774863
1,3775430
1,156114543
9,83817116
2,231465252
1,247078828
22,50276133
3,52686117
21,25734617
3,49585490
21,44461222
14,104604661
1,29134558
2,46909007
19,19405213
2,222312877
4,37826878
15,96345730
14,56795168
1,151328145
12,1500079
3,122918817
1,30086277
22,24423896
3,52530999
12,75391075
16,12098468
13,42048896
12,53727575
12,51848382
20,40691365
9,93575700
10,6583527
16,4261798
6,10385256
8,143803681
1,198859120
8,139618873
3,127030030
2,3785537
22,38083208
6,108782492
1,27365487
10,73641478
11,12674733
1,54254265
1,19597709
7,102692011
19,11480375
1,247453221
11,47565858
17,49763473
12,120640287
1,26787932
9,127395865
18,8657947
16,1370424
7,157415192
16,28950851
3,146161643
1,154500864
6,139028930
11,121023981
1,197924790
22,21657628
1,36224276
10,109975729
11,705892
1,193059991
6,44311624
6,110874909
1,207645089
9,32551743
9,18474245
15,50182400
5,112419817
5,160421689
19,45498488
8,144730598
15,55319226
22,45413642
17,68259525
8,99013160
22,50040768
16,641444
7,51013919
2,106160582
5,141399545
10,7788162
18,13726610
16,1019760
3,14555911
13,45120468
18,34493498
3,183162490
20,20368977
4,89837386
4,102501817
3,138418110
5,73796528
17,39618204
15,84716362
6,166455416
6,87723232
17,1569579
1,8424357
16,67847570
3,113885027
19,54102843
1,3476074
13,33350167
1,46303648
16,57735520
10,102476984
15,98422060
8,26574220
5,36151896
2,218033768
7,140453399
16,1612130
1,9824674
4,10456541
5,43067042
16,30091598
7,5388016
17,27293974
8,142736709
8,86515029
1,201470450
1,13749463
3,72255931
7,142783144
1,43969891
5,136080723
1,228102439
16,3119793
20,59934187
1,44103726
4,110612361
15,58862251
15,69414036
13,36998875
17,50634842
5,5139916
14,35826507
17,78840722
10,129965556
17,76354219
19,42253694
13,112969325
3,100226650
15,84571123
10,68560241
10,103494216
15,55197176
6,4254623
5,141879072
15,40038500
8,143945209
1,46604506
2,19990255
7,127588168
8,69994761
6,41780933
5,123099158
17,40191458
6,81752731
13,27969052
4,65670885
16,33059230
11,20388234
20,25696987
4,8097149
8,142146509
8,141277165
5,149271800
16,85464436
13,43022520
5,37248882
8,141285675
17,81695916
4,109560146
5,134737862
8,8894838
1,213978733
5,112921419
10,61903381
2,218999424
17,82309008
15,73684860
19,15432995
10,14602133
2,106253379
3,138928937
3,139934731
17,10516182
16,28925400
7,5351788
3,129278452
4,7782146
17,80198378
4,154740697
12,132255887
12,101831133
12,71664213
12,44876550
19,52171978
4,154781986
18,48761634
16,3400828
10,104121996
2,190986183
17,2057815
9,122904907
17,5415342
9,136866221
17,36949421
16,14303217
10,14959408
13,45418538
10,31319473
7,106484722
2,208165058
16,29863548
18,3879595
6,35688465
12,92929497
2,53787043
6,131063230
3,121660930
9,126514293
12,106493211
8,1559851
9,122227997
10,49188788
12,117190092
15,64162628
4,37977545
16,69761300
2,153479079
7,157006116
10,14958026
15,80999830
1,44030086
10,75431304
13,48532980
16,3611889
8,839924
11,35619506
4,107290
2,100321334
4,2059291
1,75137172
7,2647210
13,112450783
18,48948874
16,51881178
11,118607922
4,39697874
1,73593336
16,29692159
15,88033065
1,155085309
10,33010219
22,17627424
13,43879722
17,62065130
12,75511766
22,46027724
16,70680030
6,7590642
1,67760030
7,5428566
17,82897964
4,1216278
17,74248312
16,56682205
4,123506040
7,67286240
1,44739742
18,22200915
22,26590277
9,131530661
15,89399460
3,127822686
7,1408205
16,3023743
18,78867737
3,131503001
20,25600732
4,170090351
17,76307854
1,52142737
2,99141295
20,10671455
1,50423553
1,166924117
16,56425808
15,64905806
4,122379225
6,28136912
3,50359743
18,56639030
16,57091843
10,128540517
5,173244558
2,174336334
1,64861840
9,132708906
1,182615206
6,79537569
1,248858933
15,82750200
10,24723244
3,147393493
16,71883551
1,2199141
7,39949945
1,43649926
15,89777378
12,124566838
8,99013603
6,50846298
6,89142298
2,218893299
1,154183221
12,116276795
1,11100056
15,60398080
19,12801713
15,41417866
1,9043250
9,135119720
10,25933920
8,140100648
1,85465130
2,85246627
2,75561297
5,148655015
8,143769948
11,64743371
12,94460116
13,40481451
7,151872106
6,112370288
16,72008473
7,761091
14,60511243
1,116667019
6,159169199
7,35694813
13,24718780
14,64880627
10,99530272
1,6454721
13,96994087
17,48998493
2,73644655
7,122316805
16,69933070
2,1855263
1,192316203
3,48595192
17,61457322
7,37448030
1,99969780
8,6528629
19,14441201
8,798281
13,27977593
8,65841519
16,14309568
4,133156420
16,89973174
6,113971367
8,89902362
10,133201796
8,97644339
8,81695822
3,183099550
1,167715096
2,42252245
4,2925167
2,112482336
16,30762374
6,52995025
19,16496205
16,85496063
9,32526494
12,132356946
17,4513829
11,43943252
4,83282303
17,49193071
20,10430880
1,224114648
1,214549609
21,44695863
1,61083338
8,98904975
2,19901378
2,161238966
4,4853504
17,32503714
18,36129879
12,55974044
22,50270698
2,73295928
6,25042320
6,138107430
3,194687131
13,72781934
3,50195026
1,32013663
3,10108290
22,38272529
8,101126366
20,56468183
10,87094831
5,44388697
7,43759023
7,150369067
17,6070216
22,43423235
8,130651109
11,70270340
22,42281963
3,195260037
9,130713790
19,3097567
12,120087128
20,4687107
7,116858665
1,212700811
10,35605502
16,89422555
19,6531528
4,140427778
3,50567838
3,87089550
5,177116900
17,41635482
10,118754775
4,742610
10,84214416
6,108169167
19,37371084
17,44364185
20,62217333
1,244461256
12,107320329
16,56635126
17,60677713
1,109620553
21,39380596
20,36815872
12,122501045
3,125375694
10,50625284
16,9091591
3,150546687
1,17680392
1,27725783
1,111448909
20,36307214
7,6447711
8,143360267
1,214605779
1,1400044
15,63834226
3,9397325
10,124916937
17,77529279
8,26514956
20,32357874
7,134458229
19,709889
2,168802611
1,150513785
17,78104565
14,101023849
20,20452559
4,80389357
12,132400554
8,140570029
6,138107494
12,112978485
12,119988814
8,141723906
6,84773616
14,102930553
17,58331443
20,63707748
21,42238206
10,114821353
10,18145139
5,73382059
1,185156993
16,51152355
4,79408293
3,197556256
17,16386908
1,180234702
8,30095139
3,39051935
13,28137673
16,56625548
8,102656632
18,50878909
3,48595345
8,1214044
17,82813552
1,236396375
4,139280420
2,174343860
6,155333475
17,50201646
3,111674601
7,132574391
8,144428366
17,81717745
4,37977682
12,126493507
6,108294725
6,159968819
12,26226655
13,94602086
12,21942248
13,30865141
10,23174086
22,48980706
16,66842944
11,66257668
17,44970603
6,139540052
4,142845965
6,77464348
1,121184678
21,32727983
3,143207336
3,59050267
19,34255298
7,155484185
17,14301619
10,100987418
16,28822502
2,186693675
8,125430192
12,122182113
1,50421805
8,9088791
22,31496357
13,80336628
7,122143490
7,73739369
3,126209023
1,14599360
2,196639514
11,804954
7,131557009
6,105403369
6,170137640
10,133019965
7,54663616
16,66546519
12,26833246
4,794352
22,41096003
12,54033600
4,37890572
19,7682142
5,139701551
1,42035296
16,83953190
17,81295666
13,51625818
3,186900188
4,1002997
10,95907974
10,5890080
8,100150581
3,159839990
9,127802230
2,241148889
22,23790321
10,43351257
10,21394055
7,159034229
3,47421290
15,51829583
5,497524
3,134251079
13,93226769
22,39625991
13,109786657
17,66192363
11,20156950
18,78726611
16,71412963
3,10764362
19,10291849
17,70137456
7,140024123
7,29884216
3,128422591
2,156329800
17,28729037
1,226703227
10,7818548
8,123416400
12,13103705
17,8269410
12,11171679
16,71564967
9,93946006
17,1056256
2,176083036
3,71653584
18,31102266
17,34580113
17,61477311
5,181154937
5,138337980
8,56993804
14,22830252
13,75482283
1,121183942
3,193016552
17,43943380
10,79684565
16,89283902
17,18119807
13,36819109
17,60392580
7,104208354
6,26028553
15,60591026
15,88402552
20,46210137
3,13549468
6,44007037
13,52195633
9,85523069
16,28507064
6,71421317
10,133096917
17,43546721
4,47031109
8,54615606
11,102047426
16,88805503
16,4624658
2,108534822
15,36883834
6,28124592
10,68527424
9,137255879
12,109093249
12,109477619
15,76260110
17,19004141
16,28743389
22,19765841
2,236566600
16,21554968
10,79981798
20,63431271
1,153986395
3,184337113
2,11610792
10,3763060
11,65541030
2,1170519
4,55793756
16,89403321
6,71489934
15,99447666
7,739325
3,48428772
20,18588359
3,24119716
7,1014484
1,110607022
1,1163612
22,37519319
10,97849724
11,47642720
2,48755544
12,27244553
20,58177723
2,219232287
1,114670213
17,19015833
3,12841809
22,50194285
17,7306961
6,10747868
6,41374204
12,98645800
5,159039218
3,99876049
2,229805834
11,61430344
1,1242659
11,74311830
5,237915
5,178969168
2,132414368
3,101677208
11,64880033
18,79637557
7,6164890
3,51638223
18,48952014
19,17101506
18,78856808
1,22653002
14,20462034
17,6651800
2,219001715
22,17169921
2,176638335
6,34888020
2,186485983
7,92134202
8,8893967
3,73557378
2,195657265
6,87407640
11,560589
3,184760541
16,4616437
4,41935280
1,244833990
14,80211345
2,96861898
22,46070097
16,3144069
18,8781985
12,54034387
2,219001738
5,180811208
13,27428601
17,75077144
22,42869573
6,159233866
22,37750962
17,50150782
16,8712899
8,141440315
5,1343668
11,67403720
15,36579651
2,25340744
5,35230833
11,36400893
17,77088541
16,68245261
17,81528638
7,7182711
12,133130937
2,240560434
7,43872826
10,102419721
2,20576860
20,37258014
22,33653889
16,22374341
15,83283161
1,164576546
5,180291685
21,42235354
11,125569329
1,180503065
3,64321854
12,34218849
2,233458270
22,48667191
17,782453
1,25859506
13,100089033
2,94857976
8,37699345
13,24271753
4,5050737
12,751314
18,74534550
6,37004251
11,124185590
22,17980880
15,47718894
11,9314469
16,87701837
17,74453897
18,55780610
9,107716341
1,53276440
17,73312072
17,21284449
4,150078395
6,25279513
3,184561833
3,98732272
15,75727652
2,96013598
12,1500180
9,21802599
6,159968801
10,47310182
12,119334576
11,47746329
2,65421516
4,83536803
5,9714797
2,70191008
16,89700315
18,49813332
16,8712896
18,72544724
6,100458572
19,52139785
4,112521553
2,37949716
6,35780999
18,14998121
4,2817666
20,2840662
21,44818866
7,5479256
14,100286001
9,126705878
19,2717528
18,79625290
16,19838192
7,5553656
22,29581074
11,133064244
2,97113828
5,172669761
16,85554745
18,32467773
11,44621364
4,107824431
10,73732803
7,29113944
3,126654791
20,57652630
7,151408996
18,76496389
17,20317047
9,136808519
2,74513445
9,100352439
5,76083448
11,3233094
15,100342045
3,147392535
2,175002689
17,81472285
5,80569989
10,62519990
2,1792304
19,36255835
12,14365817
17,40309237
12,663695
6,166098198
3,25783316
7,25857230
7,76267081
6,70566555
10,127987273
12,113181879
12,6700049
8,143725886
5,177453260
11,72697207
10,110287108
19,2977312
19,44955141
2,84882265
20,21391034
3,154324572
12,56267114
3,39106851
12,54336745
2,156328368
7,19117673
17,44947975
6,117920323
16,8621689
10,26642983
16,27109624
3,128490929
22,42720071
3,124761378
17,81832859
9,19380427
1,156845395
20,45812185
20,34220165
22,50282039
14,33800210
12,54016943
18,12250819
12,121888643
2,32277712
10,124648236
14,61322196
19,4558553
6,15495267
22,46250481
12,100267641
6,163671982
13,99984022
10,122113421
3,127822612
1,240207565
13,61415637
16,1918934
10,103368426
5,150759333
10,12043128
20,2693902
10,13666238
16,56194586
3,47803165
12,62935478
1,207454837
6,27809871
6,35511573
16,20851829
10,43104791
22,38394202
4,884647
11,14500165
1,100266380
17,81282344
20,45347112
19,5804631
19,45179096
16,31000942
16,2237762
17,78568996
4,1870742
1,156284358
4,68182617
15,28107201
9,1051579
10,75409841
1,234610800
5,82635682
5,159100809
16,2785623
11,57667214
7,77798729
8,691466
6,43076077
12,5433570
13,73059040
1,97923825
7,154748615
1,201482132
14,102508400
5,161549277
19,36489830
1,193121915
10,100967482
9,2619314
3,192918285
17,50871517
16,29844590
22,41928277
1,6492343
12,14843649
16,8173274
19,4038853
12,125861495
22,31662228
1,155273519
8,27461417
5,135489151
1,217137545
1,47023741
1,112466460
1,217133421
16,30374829
15,85795197
22,41589638
19,1383700
2,3639994
4,809174
12,132887771
22,50603303
4,2261945
5,43040783
12,120361570
4,122379139
1,65064855
18,46173565
17,79930186
6,138499703
1,8134281
4,165378790
21,33478780
8,23710094
17,77055865
3,72655173
1,34781125
8,739968
19,34773062
11,70203024
8,109539736
2,30808836
17,47952215
11,70085156
11,61513444
2,218982511
10,97334986
20,21391565
2,238600664
17,81917582
13,44989672
1,28580966
4,78939552
2,54723325
10,3784662
12,12611960
3,131382294
2,189440840
2,20012756
16,58464670
3,39281284
7,138002309
18,26133777
1,1307352
4,100518071
1,1630995
12,14567792
5,17221862
17,31345318
7,151302505
12,29149346
16,2109463
10,117137855
5,140345508
17,75158701
22,42070580
18,50879017
8,23064611
11,57482996
16,4351423
20,63555590
17,49914442
12,389441
9,137837100
18,8782522
16,70439090
17,1197984
1,235504207
5,132777694
17,47813677
22,37516247
6,81614120
1,27959837
8,84183040
5,32713617
10,132371043
6,3139393
17,14301045
6,166691113
17,48646776
4,4859891
4,99089060
3,123883921
8,90789245
10,91409738
16,2690588
11,71453060
11,44311103
13,80655406
12,57608820
1,23369037
16,15888770
7,129144362
16,27718364
19,49524687
16,74700332
6,83853189
10,68956405
2,127219983
16,46885163
2,112275841
5,139763313
15,65869814
5,44388870
8,142319159
16,28288932
5,78294967
10,100659807
20,41367107
5,178154511
11,64344972
2,74648141
11,2149182
13,102403137
6,149990733
13,21671281
21,33033373
5,140157622
17,27332794
13,110456793
5,140882164
19,38502592
10,103966856
10,18651978
7,132783422
2,25250006
4,53363467
22,36286824
16,88328469
18,79789539
22,27800846
13,50909721
12,110502482
10,91923980
18,15197868
1,226737038
1,46448361
5,16466187
17,63849550
10,68827374
22,19144490
7,158016543
14,73759724
12,57079018
10,88281677
22,23180273
7,149624980
2,230990503
10,133520397
7,101232855
1,6180980
9,97849234
7,157139301
10,21497481
12,5946264
17,76022429
5,176366538
2,86620416
11,6630757
8,123737324
11,2444121
2,106253580
6,157597152
2,20675302
18,62187889
2,24050223
22,17159102
8,1838041
11,74749512
15,25184029
8,43292438
16,68085352
7,41693758
8,29875058
19,35756005
13,42048695
7,714465
7,2543768
11,6204307
11,63491307
8,123073120
7,100094252
16,71489401
13,52846290
1,234600346
5,140215034
16,10182518
3,184363379
19,12838913
7,108526138
7,27095947
15,82021379
8,140545196
15,25863516
12,105107176
22,26657506
2,20052051
21,45973408
11,17477072
20,62838676
2,210224954
19,8485656
3,151278811
5,69166795
17,73642890
1,224616524
11,67616074
11,10294914
10,73781748
16,81040234
21,35025759
16,30569877
15,101295728
3,49554315
3,46812360
11,33258353
9,89310728
4,10461966
8,124474717
15,78206795
2,102619646
11,95151488
3,196639798
1,32208740
2,25168636
12,59651090
7,50592949
16,75570654
3,23203190
13,113407794
1,211207620
6,26285004
11,5580893
3,161221658
5,13921887
3,128725970
2,120934219
2,106139265
11,102268793
1,151717509
1,243472498
13,99989155
11,113773841
9,121499528
5,141825641
1,161021188
1,167219765
4,128812732
12,48783370
1,114758242
6,36243319
3,49007030
15,32616199
12,116533226
19,36378958
2,202870836
20,56625711
8,96261521
21,39349500
1,1630161
19,50358517
8,125174467
11,27700516
11,95038350
8,106658130
2,61017735
19,2252070
11,125592765
16,67842068
3,184240690
11,61102497
14,21092758
10,101132771
1,37931760
3,4303483
1,1131843
10,63465056
8,98944239
16,30064190
15,76191761
16,302599
8,102789259
21,29024827
7,151119926
2,113173961
2,236171711
4,101346968
4,123340665
2,161427048
7,139060963
7,13742857
3,51707264
13,96090159
9,135411000
20,32583584
19,18193588
7,50093616
10,101694496
8,144333290
15,49046354
16,983074
1,181485608
16,28823956
22,41920172
16,15395706
15,28832160
7,73978367
1,1425697
10,45198853
1,171670962
20,2840096
8,11285176
18,23453692
1,70221732
1,246566573
11,62710008
1,163423309
15,39449878
2,174329351
7,116862374
14,69259602
1,27490573
5,136079501
19,1401119
22,27802603
1,91949353
16,66406789
12,117098726
1,91863842
7,116525509
15,25086603
1,37689867
5,17436606
7,38178510
4,87391395
5,139462751
16,51151435
2,85679534
3,134652443
11,65111681
7,30136552
15,72341865
20,45840879
1,228211861
1,24502869
19,1067148
2,241634557
8,143616687
1,234963373
8,143977500
11,59898225
4,83108958
1,236282564
5,157671545
7,38178108
1,228374825
15,73927607
7,101825602
1,201649773
10,97426536
11,127004048
20,3795613
2,160492154
2,120522426
1,92030320
19,45472862
3,12158336
11,103092543
16,86510740
8,29351513
16,23182352
3,44865263
7,26199943
11,59477316
7,127652685
3,125147802
17,2690663
16,49755638
4,145907546
3,198110570
8,85464260
15,76188093
4,84492982
18,12912339
4,187235549
4,124712485
8,96261842
13,113097250
1,151156154
17,57042027
7,5970453
2,241558683
13,27533301
16,67662278
2,36808564
20,63361766
8,47960305
1,247639864
1,68497224
17,75941105
12,51952112
3,50246705
7,27115295
16,89056093
2,176093446
11,2376293
1,177164601
13,60397124
16,75266963
4,78552173
16,2980446
19,18203881
17,15436795
1,40161391
11,62856115
1,197269268
10,6737913
3,187281106
1,42036296
2,128322227
1,175193261
4,173334401
2,161238185
1,50048788
17,42562147
10,17130001
4,83455923
10,22316702
3,24495691
18,49460723
15,98970997
4,98929217
19,39499338
2,144520240
17,77450467
2,165469104
8,43059398
11,17276800
10,78745567
6,57313825
1,103108516
1,75125668
3,36945022
5,51379207
15,62066931
1,156626055
11,13010857
2,74441350
5,31855371
1,33306431
6,10403851
10,43396627
5,172683474
16,2451225
11,112025774
5,1950668
8,24218707
14,101560475
1,965682
8,13131908
8,29176163
1,108661703
17,410495
7,13991182
8,28705373
1,40979140
16,88727635
5,83473278
11,68460603
8,141507374
4,95548902
3,14297421
3,134651077
8,143954002
12,113077634
15,26868766
1,7705185
19,42326444
1,39516530
1,156660327
1,11013851
15,28107412
2,218399559
11,811545
16,10743826
22,37943965
20,22584309
12,76879539
3,136862189
12,57610182
22,16602522
12,54610645
15,35545677
4,48906679
11,14973712
16,11276207
22,36529128
8,43292421
16,67174344
7,116257920
3,184230270
6,106360828
5,181246604
7,49774167
11,8683255
17,81537154
6,89217766
8,79761639
6,33976006
16,69386047
6,147503198
7,100612161
11,73218508
16,20806347
22,42383087
19,50805082
5,91279642
22,20859611
3,126949676
19,50376180
2,176078976
13,100534020
10,133277061
10,114178970
7,97014374
1,27872302
7,76260341
6,151390715
6,57046604
2,134190451
12,132887108
11,1036677
1,211207311
7,141014814
2,43227678
7,16398450
15,40903814
19,33273644
10,110672091
5,16179939
11,65304966
4,13529539
1,161379105
16,24846176
6,24489627
1,92441882
20,49045869
20,56925467
19,40074391
3,9648803
1,15188715
1,1699303
1,156726104
22,31083575
2,153479184
10,805325
10,118047005
1,84078537
1,91884555
10,75210915
18,2654820
16,3138509
6,131135225
17,1399715
7,85187022
8,61687551
11,105610579
4,3441898
3,64561432
11,128777212
18,79714091
22,46289831
3,126287906
3,48301344
8,66712159
16,88393306
11,18106630
3,54087751
17,41060243
13,52739710
1,151254516
12,118103493
4,108620403
